,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,heat,cool,snowfall,preciptotal,sealevel,resultspeed,resultdir,avgspeed,year,month,day,codesum,sunrise,sunset
0,5,2012-06-01,76.0,67.0,72.0,5.0,70.0,0.0,7.0,0.0,2.32,29.89,9.4,19.0,11.1,2012,6,1, ,0411,1913
1,5,2012-06-02,76.0,67.0,72.0,5.0,70.0,0.0,7.0,0.0,2.32,29.89,9.4,19.0,11.1,2012,6,2, ,0411,1914
2,5,2012-06-03,76.0,67.0,72.0,5.0,70.0,0.0,7.0,0.0,2.32,29.89,9.4,19.0,11.1,2012,6,3, ,0410,1915
3,5,2012-06-04,76.0,67.0,72.0,5.0,70.0,0.0,7.0,0.0,2.32,29.89,9.4,19.0,11.1,2012,6,4, ,0410,1915
4,5,2012-06-05,76.0,67.0,72.0,5.0,70.0,0.0,7.0,0.0,2.32,29.89,9.4,19.0,11.1,2012,6,5, ,0409,1916
5,5,2012-06-06,76.0,67.0,72.0,5.0,70.0,0.0,7.0,0.0,2.32,29.89,9.4,19.0,11.1,2012,6,6, ,0409,1917
6,5,2012-06-07,76.0,67.0,72.0,5.0,70.0,0.0,7.0,0.0,2.32,29.89,9.4,19.0,11.1,2012,6,7, ,0409,1918
7,5,2012-06-08,76.0,67.0,72.0,5.0,70.0,0.0,7.0,0.0,2.32,29.89,9.4,19.0,11.1,2012,6,8, ,0409,1918
8,5,2012-06-09,76.0,67.0,72.0,5.0,70.0,0.0,7.0,0.0,2.32,29.89,9.4,19.0,11.1,2012,6,9, ,0408,1919
9,5,2012-06-10,76.0,67.0,72.0,5.0,70.0,0.0,7.0,0.0,2.32,29.89,9.4,19.0,11.1,2012,6,10, ,0408,1919
10,5,2012-06-11,76.0,67.0,72.0,5.0,70.0,0.0,7.0,0.0,2.32,29.89,9.4,19.0,11.1,2012,6,11, ,0408,1920
11,5,2012-06-12,76.0,67.0,72.0,5.0,70.0,0.0,7.0,0.0,2.32,29.89,9.4,19.0,11.1,2012,6,12, ,0408,1920
12,5,2012-06-13,76.0,67.0,72.0,5.0,70.0,0.0,7.0,0.0,2.32,29.89,9.4,19.0,11.1,2012,6,13, ,0408,1921
13,5,2012-06-14,76.0,67.0,72.0,5.0,70.0,0.0,7.0,0.0,2.32,29.89,9.4,19.0,11.1,2012,6,14, ,0408,1921
14,5,2012-06-15,76.0,67.0,72.0,5.0,70.0,0.0,7.0,0.0,2.32,29.89,9.4,19.0,11.1,2012,6,15, ,0408,1922
15,5,2012-06-16,76.0,67.0,72.0,5.0,70.0,0.0,7.0,0.0,2.32,29.89,9.4,19.0,11.1,2012,6,16, ,0408,1922
16,5,2012-06-17,76.0,67.0,72.0,5.0,70.0,0.0,7.0,0.0,2.32,29.89,9.4,19.0,11.1,2012,6,17, ,0408,1923
