,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,codesum,sunrise,sunset
0,6,2012-01-01,63.0,34.0,49.0,0.0,31.0,43.0,16.0,0.0,0.0,0.0,29.95,30.47,14.0,36.0,13.8,2012,1,1, ,0727,1742
1,6,2012-01-02,60.0,30.0,45.0,4.0,27.0,38.0,20.0,0.0,0.0,0.0,30.09,30.63,9.0,1.0,9.3,2012,1,2, ,0727,1742
2,6,2012-01-03,62.0,25.0,44.0,5.0,26.0,37.0,21.0,0.0,0.0,0.0,29.88,30.48,5.4,18.0,5.8,2012,1,3, ,0727,1743
3,6,2012-01-04,71.0,31.0,51.0,2.0,41.0,45.0,14.0,0.0,0.0,0.0,29.72,30.28,0.8,22.0,4.7,2012,1,4,BR,0728,1744
4,6,2012-01-05,71.0,38.0,55.0,6.0,43.0,50.0,10.0,0.0,0.0,0.0,29.68,30.24,0.3,25.0,2.3,2012,1,5, ,0728,1745
5,6,2012-01-06,75.0,43.0,64.0,14.0,54.0,57.0,1.0,0.0,0.0,0.0,29.44,29.99,10.6,19.0,10.8,2012,1,6,BR,0728,1745
6,6,2012-01-07,70.0,46.0,58.0,9.0,45.0,51.0,7.0,0.0,0.0,0.0,29.47,30.0,1.6,33.0,3.4,2012,1,7,FG+ BR,0728,1746
7,6,2012-01-08,61.0,42.0,52.0,3.0,49.0,52.0,13.0,0.0,0.0,0.01,29.47,30.0,7.7,2.0,8.1,2012,1,8,RA BR,0728,1747
8,6,2012-01-09,58.0,43.0,51.0,2.0,48.0,49.0,14.0,0.0,0.0,0.62,29.48,30.0,11.2,35.0,12.5,2012,1,9,TSRA RA DZ BR,0728,1748
9,6,2012-01-10,60.0,35.0,48.0,1.0,37.0,43.0,17.0,0.0,0.0,0.01,29.41,29.97,7.8,31.0,8.4,2012,1,10, ,0728,1749
10,6,2012-01-11,76.0,29.0,53.0,4.0,36.0,45.0,12.0,0.0,0.0,0.0,29.28,29.81,5.8,24.0,9.9,2012,1,11, ,0728,1749
11,6,2012-01-12,51.0,28.0,40.0,9.0,18.0,33.0,25.0,0.0,0.0,0.0,29.7,30.22,13.3,34.0,13.9,2012,1,12, ,0728,1750
12,6,2012-01-13,59.0,26.0,43.0,6.0,23.0,35.0,22.0,0.0,0.0,0.0,29.77,30.3,2.1,21.0,3.7,2012,1,13, ,0728,1751
13,6,2012-01-14,66.0,22.0,44.0,5.0,25.0,36.0,21.0,0.0,0.0,0.0,29.8,30.35,4.1,21.0,4.4,2012,1,14, ,0728,1752
14,6,2012-01-15,64.0,26.0,45.0,4.0,42.0,46.0,20.0,0.0,0.0,0.0,29.7,30.27,6.9,18.0,7.0,2012,1,15, ,0728,1753
15,6,2012-01-16,76.0,59.0,68.0,19.0,61.0,63.0,0.0,3.0,0.0,0.01,29.49,30.04,13.2,19.0,13.5,2012,1,16, ,0727,1754
16,6,2012-01-17,75.0,43.0,59.0,10.0,48.0,55.0,6.0,0.0,0.0,0.0,29.62,30.11,8.8,1.0,13.9,2012,1,17,DZ BR HZ,0727,1754
17,6,2012-01-18,64.0,35.0,50.0,1.0,31.0,41.0,15.0,0.0,0.0,0.0,29.65,30.2,1.6,2.0,7.6,2012,1,18, ,0727,1755
