,station_nbr,date,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,snowfall,preciptotal,stnpressure,resultspeed,resultdir,avgspeed,year,month,day,codesum,sunrise,sunset
0,8,2012-01-01,66.0,45.0,87.0,34.0,46.0,0.0,22.0,0.0,0.0,30.05,11.0,36.0,10.9,2012,1,1,RA BR,-,-
1,8,2012-01-02,59.0,36.0,87.0,29.0,40.0,0.0,22.0,0.0,0.0,30.25,6.2,36.0,6.7,2012,1,2, ,-,-
2,8,2012-01-03,61.0,30.0,87.0,28.0,38.0,0.0,22.0,0.0,0.0,30.12,3.9,16.0,3.9,2012,1,3, ,-,-
3,8,2012-01-04,72.0,37.0,87.0,45.0,49.0,0.0,22.0,0.0,0.0,29.9,1.4,24.0,2.6,2012,1,4, ,-,-
4,8,2012-01-05,70.0,46.0,87.0,46.0,52.0,0.0,22.0,0.0,0.0,29.87,0.9,33.0,1.0,2012,1,5, ,-,-
5,8,2012-01-06,73.0,57.0,87.0,53.0,58.0,0.0,22.0,0.0,0.0,29.65,7.7,20.0,8.0,2012,1,6,BR HZ,-,-
6,8,2012-01-07,68.0,54.0,87.0,51.0,54.0,0.0,22.0,0.0,0.0,29.63,0.4,31.0,1.7,2012,1,7,FG+ FG BR,-,-
7,8,2012-01-08,72.0,52.0,87.0,55.0,58.0,0.0,22.0,0.0,0.03,29.64,1.1,36.0,1.2,2012,1,8,RA BR HZ,-,-
8,8,2012-01-09,68.0,48.0,87.0,50.0,52.0,0.0,22.0,0.0,0.62,29.6,8.4,34.0,9.4,2012,1,9,TSRA RA DZ BR VCTS,-,-
9,8,2012-01-10,59.0,41.0,87.0,38.0,44.0,0.0,22.0,0.0,0.0,29.6,7.4,30.0,8.1,2012,1,10, ,-,-
10,8,2012-01-11,72.0,41.0,87.0,36.0,47.0,0.0,22.0,0.0,0.0,29.45,6.4,25.0,8.9,2012,1,11, ,-,-
11,8,2012-01-12,54.0,32.0,87.0,20.0,34.0,0.0,22.0,0.0,0.0,29.83,12.1,34.0,13.0,2012,1,12, ,-,-
12,8,2012-01-13,55.0,30.0,87.0,26.0,36.0,0.0,22.0,0.0,0.0,29.94,1.6,23.0,2.4,2012,1,13, ,-,-
13,8,2012-01-14,63.0,30.0,87.0,30.0,39.0,0.0,22.0,0.0,0.0,29.99,4.0,22.0,4.6,2012,1,14, ,-,-
14,8,2012-01-15,64.0,34.0,87.0,45.0,49.0,0.0,22.0,0.0,0.0,29.91,5.6,17.0,5.9,2012,1,15, ,-,-
15,8,2012-01-16,73.0,63.0,87.0,61.0,64.0,0.0,22.0,0.0,0.0,29.72,11.2,18.0,10.9,2012,1,16,BR,-,-
16,8,2012-01-17,77.0,46.0,87.0,50.0,57.0,0.0,22.0,0.0,0.0,29.73,3.7,35.0,9.0,2012,1,17,RA BR HZ,-,-
17,8,2012-01-18,63.0,36.0,87.0,35.0,43.0,0.0,22.0,0.0,0.0,29.85,1.3,35.0,5.0,2012,1,18, ,-,-
18,8,2012-01-19,72.0,48.0,87.0,52.0,56.0,0.0,22.0,0.0,0.0,29.59,7.3,20.0,7.8,2012,1,19,BR,-,-
19,8,2012-01-20,77.0,61.0,87.0,61.0,64.0,0.0,22.0,0.0,0.0,29.49,8.9,19.0,9.0,2012,1,20,BR HZ,-,-
20,8,2012-01-21,70.0,48.0,87.0,48.0,52.0,0.0,22.0,0.0,0.0,29.58,4.3,34.0,6.5,2012,1,21,BR HZ,-,-
21,8,2012-01-22,79.0,52.0,87.0,57.0,60.0,0.0,22.0,0.0,0.0,29.47,3.0,19.0,3.3,2012,1,22,FG+ BR HZ,-,-
22,8,2012-01-23,63.0,46.0,87.0,39.0,48.0,0.0,22.0,0.0,0.0,29.67,3.6,2.0,3.8,2012,1,23,BR,-,-
23,8,2012-01-24,70.0,46.0,87.0,56.0,58.0,0.0,22.0,0.0,0.12,29.56,4.3,13.0,4.7,2012,1,24,TS RA BR HZ,-,-
24,8,2012-01-25,72.0,52.0,87.0,53.0,55.0,0.0,22.0,0.0,3.0,29.47,1.9,33.0,10.2,2012,1,25,TSRA RA DZ VCTS,-,-
25,8,2012-01-26,66.0,45.0,87.0,42.0,49.0,0.0,22.0,0.0,0.0,29.63,4.9,30.0,5.5,2012,1,26, ,-,-
26,8,2012-01-27,70.0,37.0,87.0,43.0,49.0,0.0,22.0,0.0,0.0,29.68,5.7,17.0,5.7,2012,1,27, ,-,-
27,8,2012-01-28,61.0,43.0,87.0,34.0,44.0,0.0,22.0,0.0,0.0,29.96,8.2,1.0,8.5,2012,1,28, ,-,-
28,8,2012-01-29,63.0,37.0,87.0,33.0,42.0,0.0,22.0,0.0,0.0,30.04,1.5,16.0,2.0,2012,1,29, ,-,-
29,8,2012-01-30,68.0,41.0,87.0,48.0,52.0,0.0,22.0,0.0,0.06,29.87,4.2,15.0,4.4,2012,1,30,RA HZ,-,-
30,8,2012-01-31,72.0,57.0,87.0,77.0,79.0,0.0,22.0,0.0,0.38,29.75,2.4,16.0,2.2,2012,1,31,RA BR,-,-
31,8,2012-02-01,77.0,63.0,87.0,58.0,62.0,0.0,22.0,0.0,0.01,29.71,0.7,23.0,1.4,2012,2,1,DZ FG BR HZ,-,-
32,8,2012-02-02,77.0,59.0,87.0,59.0,63.0,0.0,22.0,0.0,0.02,29.67,4.4,14.0,4.2,2012,2,2,RA DZ FG+ FG BR HZ VCTS,-,-
33,8,2012-02-03,79.0,66.0,87.0,62.0,65.0,0.0,22.0,0.0,0.02,29.59,8.3,16.0,8.5,2012,2,3,RA HZ,-,-
34,8,2012-02-04,72.0,52.0,87.0,47.0,52.0,0.0,22.0,0.0,0.25,29.75,8.6,35.0,10.6,2012,2,4,RA VCTS,-,-
35,8,2012-02-05,52.0,45.0,87.0,38.0,43.0,0.0,22.0,0.0,0.0,29.93,11.5,36.0,11.9,2012,2,5,RA DZ,-,-
36,8,2012-02-06,54.0,41.0,87.0,37.0,43.0,0.0,22.0,0.0,0.0,29.91,3.5,36.0,4.0,2012,2,6, ,-,-
37,8,2012-02-07,63.0,46.0,87.0,43.0,48.0,0.0,22.0,0.0,0.0,29.85,0.7,36.0,0.8,2012,2,7, ,-,-
38,8,2012-02-08,55.0,45.0,87.0,42.0,46.0,0.0,22.0,0.0,0.0,30.0,5.5,36.0,5.7,2012,2,8, ,-,-
39,8,2012-02-09,55.0,39.0,87.0,41.0,45.0,0.0,22.0,0.0,0.0,29.88,1.3,9.0,3.2,2012,2,9,RA BR HZ,-,-
40,8,2012-02-10,61.0,45.0,87.0,43.0,48.0,0.0,22.0,0.0,0.27,29.79,4.5,35.0,4.6,2012,2,10,RA DZ BR,-,-
41,8,2012-02-11,52.0,36.0,87.0,29.0,38.0,0.0,22.0,0.0,0.0,30.06,9.1,1.0,9.3,2012,2,11, ,-,-
42,8,2012-02-12,45.0,32.0,87.0,27.0,34.0,0.0,22.0,0.0,0.0,30.06,4.1,9.0,6.2,2012,2,12,DZ SN,-,-
43,8,2012-02-13,61.0,43.0,87.0,45.0,47.0,0.0,22.0,0.0,0.87,29.61,0.5,11.0,3.6,2012,2,13,RA DZ FG BR,-,-
44,8,2012-02-14,68.0,41.0,87.0,50.0,53.0,0.0,22.0,0.0,0.03,29.57,3.5,15.0,3.3,2012,2,14,RA FG+ FG BR,-,-
45,8,2012-02-15,75.0,59.0,87.0,57.0,60.0,0.0,22.0,0.0,0.2,29.57,0.7,13.0,1.8,2012,2,15,TSRA RA FG BR HZ,-,-
46,8,2012-02-16,59.0,50.0,87.0,45.0,50.0,0.0,22.0,0.0,0.01,29.75,4.7,1.0,4.8,2012,2,16,RA BR HZ,-,-
47,8,2012-02-17,59.0,54.0,87.0,52.0,54.0,0.0,22.0,0.0,0.7,29.65,3.9,6.0,4.1,2012,2,17,RA DZ BR HZ,-,-
48,8,2012-02-18,61.0,50.0,87.0,48.0,51.0,0.0,22.0,0.0,1.33,29.49,7.6,35.0,9.4,2012,2,18,RA VCTS,-,-
49,8,2012-02-19,61.0,48.0,87.0,43.0,48.0,0.0,22.0,0.0,0.0,29.72,3.6,36.0,5.8,2012,2,19, ,-,-
50,8,2012-02-20,66.0,46.0,87.0,50.0,53.0,0.0,22.0,0.0,0.0,29.7,5.2,16.0,5.5,2012,2,20,RA BR,-,-
51,8,2012-02-21,73.0,52.0,87.0,52.0,57.0,0.0,22.0,0.0,0.0,29.72,3.7,18.0,4.1,2012,2,21,BR HZ,-,-
52,8,2012-02-22,81.0,63.0,87.0,58.0,63.0,0.0,22.0,0.0,0.0,29.48,7.0,21.0,7.3,2012,2,22,BR HZ,-,-
53,8,2012-02-23,82.0,64.0,87.0,64.0,67.0,0.0,22.0,0.0,0.0,29.28,7.7,20.0,8.7,2012,2,23,BR HZ,-,-
54,8,2012-02-24,70.0,46.0,87.0,31.0,44.0,0.0,22.0,0.0,0.0,29.77,11.3,1.0,12.2,2012,2,24,BR,-,-
55,8,2012-02-25,59.0,43.0,87.0,34.0,43.0,0.0,22.0,0.0,0.0,29.98,1.8,19.0,2.7,2012,2,25, ,-,-
56,8,2012-02-26,64.0,37.0,87.0,45.0,50.0,0.0,22.0,0.0,0.0,29.79,5.3,16.0,5.5,2012,2,26, ,-,-
57,8,2012-02-27,72.0,61.0,87.0,56.0,60.0,0.0,22.0,0.0,0.0,29.8,5.2,10.0,5.5,2012,2,27, ,-,-
58,8,2012-02-28,79.0,61.0,87.0,61.0,64.0,0.0,22.0,0.0,0.0,29.67,10.3,17.0,11.0,2012,2,28,DZ BR HZ,-,-
59,8,2012-02-29,77.0,64.0,87.0,77.0,79.0,0.0,22.0,0.0,0.0,29.62,2.4,16.0,4.7,2012,2,29,BR HZ,-,-
60,8,2012-03-01,79.0,66.0,87.0,64.0,67.0,0.0,22.0,0.0,0.0,29.48,7.2,18.0,6.5,2012,3,1,DZ BR HZ,-,-
