,station_nbr,date,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,codesum,sunrise,sunset
0,16,2012-01-01,50.0,30.0,40.0,37.0,40.0,25.0,0.0,0.0,29.8,29.89,4.2,21.0,6.8,2012,1,1,RA MIFG BR,-,-
1,16,2012-01-02,50.0,30.0,40.0,26.0,35.0,25.0,0.0,0.01,29.48,29.59,9.6,27.0,10.9,2012,1,2,RA,-,-
2,16,2012-01-03,32.0,11.0,22.0,6.0,18.0,43.0,0.0,0.0,29.7,29.84,10.2,31.0,10.9,2012,1,3, ,-,-
3,16,2012-01-04,27.0,8.0,18.0,1.0,14.0,47.0,0.0,0.0,29.9,30.0,7.9,28.0,9.9,2012,1,4, ,-,-
4,16,2012-01-05,38.0,24.0,31.0,13.0,25.0,34.0,0.0,0.0,29.7,29.82,6.9,27.0,8.1,2012,1,5, ,-,-
5,16,2012-01-06,45.0,25.0,35.0,24.0,30.0,30.0,0.0,0.0,29.72,29.82,1.6,19.0,2.6,2012,1,6, ,-,-
6,16,2012-01-07,58.0,25.0,42.0,29.0,36.0,23.0,0.0,0.0,29.6,29.73,2.8,29.0,3.7,2012,1,7, ,-,-
7,16,2012-01-08,43.0,27.0,35.0,22.0,32.0,30.0,0.0,0.0,29.93,30.08,6.0,30.0,6.8,2012,1,8, ,-,-
8,16,2012-01-09,38.0,21.0,30.0,14.0,25.0,35.0,0.0,0.0,30.09,30.18,2.7,25.0,5.3,2012,1,9, ,-,-
9,16,2012-01-10,47.0,28.0,38.0,25.0,32.0,27.0,0.0,0.01,29.72,29.84,5.2,26.0,6.3,2012,1,10,SN BR,-,-
10,16,2012-01-11,38.0,23.0,31.0,22.0,29.0,34.0,0.0,0.0,29.93,30.07,3.2,8.0,5.9,2012,1,11, ,-,-
11,16,2012-01-12,41.0,31.0,36.0,34.0,36.0,29.0,0.0,0.98,29.64,29.7,10.0,4.0,12.5,2012,1,12,RA SN BR,-,-
12,16,2012-01-13,54.0,30.0,42.0,27.0,33.0,23.0,0.0,0.06,29.28,29.38,9.6,24.0,13.5,2012,1,13,RA FG BR,-,-
13,16,2012-01-14,35.0,15.0,25.0,12.0,23.0,40.0,0.0,0.0,29.62,29.78,10.9,28.0,12.3,2012,1,14, ,-,-
14,16,2012-01-15,16.0,3.0,10.0,5.0,7.0,55.0,0.0,0.0,30.1,30.27,13.8,31.0,13.8,2012,1,15, ,-,-
15,16,2012-01-16,32.0,7.0,20.0,4.0,17.0,45.0,0.0,0.08,30.32,30.41,5.5,25.0,8.8,2012,1,16,SN BR,-,-
16,16,2012-01-17,47.0,31.0,39.0,35.0,37.0,26.0,0.0,0.13,29.75,29.8,6.2,21.0,6.9,2012,1,17,RA SN BR,-,-
17,16,2012-01-18,51.0,18.0,35.0,16.0,29.0,30.0,0.0,0.01,29.58,29.76,14.3,29.0,16.2,2012,1,18, ,-,-
18,16,2012-01-19,34.0,11.0,23.0,12.0,21.0,42.0,0.0,0.0,30.06,30.15,2.9,12.0,7.1,2012,1,19,SN BR,-,-
19,16,2012-01-20,32.0,18.0,25.0,14.0,23.0,40.0,0.0,0.05,29.93,30.08,6.7,30.0,8.4,2012,1,20,SN BR,-,-
20,16,2012-01-21,21.0,15.0,18.0,9.0,16.0,47.0,0.0,0.12,30.1,30.22,7.4,35.0,7.5,2012,1,21,SN FZFG,-,-
21,16,2012-01-22,29.0,10.0,20.0,12.0,19.0,45.0,0.0,0.0,30.36,30.51,4.1,1.0,5.2,2012,1,22, ,-,-
22,16,2012-01-23,47.0,26.0,37.0,33.0,36.0,28.0,0.0,0.14,30.17,30.23,5.4,15.0,5.9,2012,1,23,RA BR,-,-
23,16,2012-01-24,55.0,41.0,48.0,40.0,45.0,17.0,0.0,0.01,29.77,29.9,6.7,26.0,8.7,2012,1,24,RA BR,-,-
