,station_nbr,date,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,codesum,sunrise,sunset
0,20,2012-01-01,59.0,41.0,50.0,28.0,40.0,15.0,0.0,0.0,0.0,29.78,30.48,10.9,33.0,10.8,2012,1,1, ,-,-
1,20,2012-01-02,53.0,33.0,43.0,21.0,35.0,22.0,0.0,0.0,0.0,29.9,30.62,7.9,34.0,8.6,2012,1,2, ,-,-
2,20,2012-01-03,59.0,30.0,45.0,23.0,37.0,20.0,0.0,0.0,0.0,29.63,30.41,7.9,17.0,8.5,2012,1,3, ,-,-
3,20,2012-01-04,62.0,38.0,50.0,32.0,41.0,15.0,0.0,0.0,0.0,29.54,30.27,1.1,32.0,4.9,2012,1,4, ,-,-
4,20,2012-01-05,67.0,36.0,52.0,33.0,43.0,13.0,0.0,0.0,0.0,29.46,30.21,2.1,23.0,4.4,2012,1,5, ,-,-
5,20,2012-01-06,74.0,50.0,62.0,47.0,54.0,3.0,0.0,0.0,0.0,29.19,29.93,7.0,19.0,8.0,2012,1,6, ,-,-
6,20,2012-01-07,61.0,45.0,53.0,41.0,47.0,12.0,0.0,0.0,0.0,29.27,29.97,5.9,29.0,8.1,2012,1,7, ,-,-
7,20,2012-01-08,59.0,39.0,49.0,44.0,47.0,16.0,0.0,0.0,0.13,29.34,30.06,4.7,1.0,5.8,2012,1,8,RA BR HZ VCTS,-,-
8,20,2012-01-09,50.0,44.0,47.0,43.0,45.0,18.0,0.0,0.0,1.58,29.33,30.07,9.5,36.0,10.9,2012,1,9,RA BR VCTS,-,-
9,20,2012-01-10,47.0,42.0,45.0,41.0,43.0,20.0,0.0,0.0,0.3,29.13,29.88,11.3,31.0,11.7,2012,1,10,TSRA RA BR,-,-
10,20,2012-01-11,64.0,37.0,51.0,39.0,45.0,14.0,0.0,0.0,0.0,29.05,29.76,4.4,31.0,9.2,2012,1,11, ,-,-
11,20,2012-01-12,43.0,27.0,35.0,13.0,28.0,30.0,0.0,0.0,0.0,29.48,30.18,13.2,32.0,14.4,2012,1,12, ,-,-
12,20,2012-01-13,57.0,27.0,42.0,21.0,35.0,23.0,0.0,0.0,0.0,29.5,30.22,3.4,21.0,4.0,2012,1,13, ,-,-
13,20,2012-01-14,69.0,42.0,56.0,26.0,42.0,9.0,0.0,0.0,0.0,29.53,30.25,5.7,24.0,7.3,2012,1,14, ,-,-
