,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day
0,11,2012-01-01,72,48,60, 7,54,56,5, 0,0724,1737,FG+ FG BR,0.0,0.00,30.15,30.18, 4.6,23,4.8,2012,1,1
1,11,2012-01-02,63,40,52,-1,31,44,13, 0,0724,1738, ,0.0,0.00,30.10,30.14,10.2,29,11.1,2012,1,2
2,11,2012-01-03,44,25,35,-18,12,28,30, 0,0724,1738, ,0.0,0.00,30.26,30.33, 9.3,31,9.7,2012,1,3
3,11,2012-01-04,54,22,38,-15,15,29,27, 0,0724,1739, ,0.0,0.00,30.34,30.37, 2.3,27,3.1,2012,1,4
4,11,2012-01-05,68,31,50,-3,35,41,15, 0,0724,1740, ,0.0,0.00,M,30.21, 6.6,27,M,2012,1,5
5,11,2012-01-06,71,36,54, 1,40,46,11, 0,0725,1741,FG+ BR,0.0,0.00,30.12,30.16, 1.8,25,2.1,2012,1,6
6,11,2012-01-07,73,42,58, 5,48,51,7, 0,0725,1742,FG+ FG BR,0.0,  T,30.10,30.15, 2.0,27,2.3,2012,1,7
7,11,2012-01-08,75,42,59, 6,49,53,6, 0,0725,1742,BR,0.0,0.00,30.17,30.21, 2.0,15,2.5,2012,1,8
8,11,2012-01-09,76,46,61, 8,51,54,4, 0,0725,1743,FG BR,0.0,0.00,30.14,30.17, 1.6,25,1.8,2012,1,9
9,11,2012-01-10,76,47,62, 9,54,57,3, 0,0725,1744,BR,0.0,0.00,30.02,30.05, 3.7,17,4.1,2012,1,10
10,11,2012-01-11,73,55,64,11,55,59,1, 0,0725,1745,RA,0.0,  T,29.75,29.78, 9.3,21,11.3,2012,1,11
11,11,2012-01-12,74,47,61, 8,52,56,4, 0,0725,1746,BR,0.0,0.00,29.79,29.84,10.8,24,11.4,2012,1,12
12,11,2012-01-13,63,38,51,-2,21,37,14, 0,0725,1746, ,0.0,0.00,30.04,30.13, 9.6,28,10.0,2012,1,13
13,11,2012-01-14,56,29,43,-10,21,34,22, 0,0724,1747, ,0.0,0.00,30.27,30.31, 5.6,30,6.1,2012,1,14
14,11,2012-01-15,63,33,48,-5,27,38,17, 0,0724,1748, ,0.0,0.00,30.35,30.41, 4.3,29,5.0,2012,1,15
15,11,2012-01-16,68,30,49,-4,40,45,16, 0,0724,1749, ,0.0,0.00,30.42,30.45, 3.7,10,4.1,2012,1,16
16,11,2012-01-17,76,40,58, 5,48,53,7, 0,0724,1750, ,0.0,0.00,30.22,30.25, 4.4,24,4.5,2012,1,17
17,11,2012-01-18,63,46,55, 2,54,55,10, 0,0724,1751,RA BR,0.0,0.06,30.02,30.05, 4.3,24,6.4,2012,1,18
18,11,2012-01-19,65,32,49,-4,30,40,16, 0,0724,1752, ,0.0,0.00,30.09,30.14, 0.7,35,2.9,2012,1,19
19,11,2012-01-20,75,36,56, 3,42,49,9, 0,0723,1752, ,0.0,0.00,30.11,30.15, 5.5,17,5.8,2012,1,20
20,11,2012-01-21,74,50,62, 9,52,57,3, 0,0723,1753, ,0.0,0.00,30.05,30.09, 6.9,21,7.3,2012,1,21
21,11,2012-01-22,69,55,62, 9,59,60,3, 0,0723,1754,RA FG+ FG BR,0.0,0.01,30.08,30.13, 3.4,05,6.4,2012,1,22
22,11,2012-01-23,79,57,68,15,58,61,0, 3,0722,1755,FG+ FG,0.0,0.00,30.08,30.11, 3.1,16,5.1,2012,1,23
23,11,2012-01-24,82,54,68,15,57,60,0, 3,0722,1756, ,0.0,0.00,30.10,30.15, 1.2,19,3.4,2012,1,24
24,11,2012-01-25,76,51,64,11,58,60,1, 0,0721,1757,FG+ FG BR,0.0,0.00,30.14,30.18, 3.9,08,4.3,2012,1,25
25,11,2012-01-26,81,54,68,15,60,62,0, 3,0721,1758,FG+ BR,0.0,0.00,30.00,30.02, 5.8,17,6.1,2012,1,26
26,11,2012-01-27,73,46,60, 7,53,58,5, 0,0721,1759,RA BR,0.0,0.02,29.88,29.94, 9.2,25,11.9,2012,1,27
27,11,2012-01-28,71,39,55, 1,40,46,10, 0,0720,1759, ,0.0,0.00,30.09,30.14, 2.6,30,2.7,2012,1,28
28,11,2012-01-29,65,37,51,-3,40,45,14, 0,0720,1800, ,0.0,0.00,30.26,30.31, 4.0,03,5.0,2012,1,29
29,11,2012-01-30,64,30,47,-7,31,40,18, 0,0719,1801, ,0.0,0.00,30.37,30.41, 4.1,07,4.2,2012,1,30
30,11,2012-01-31,71,34,53,-1,44,48,12, 0,0718,1802, ,0.0,0.00,30.33,30.37, 3.3,09,4.0,2012,1,31
31,11,2012-02-01,77,48,63, 9,52,57,2, 0,0718,1803, ,0.0,0.00,30.21,30.23, 3.5,15,3.9,2012,2,1
32,11,2012-02-02,78,54,66,12,56,60,0, 1,0717,1804, ,0.0,0.00,30.12,30.16, 3.4,29,4.1,2012,2,2
33,11,2012-02-03,73,50,62, 8,54,57,3, 0,0717,1805,BR,0.0,  T,30.23,30.27, 8.0,05,8.3,2012,2,3
34,11,2012-02-04,77,54,66,12,57,60,0, 1,0716,1806,BR,0.0,0.00,30.16,30.18, 5.4,12,6.1,2012,2,4
35,11,2012-02-05,81,55,68,14,58,62,0, 3,0715,1806,FG+ BR,0.0,0.00,30.01,30.05, 3.4,26,4.3,2012,2,5
36,11,2012-02-06,66,56,61, 7,57,58,4, 0,0715,1807,BR HZ,0.0,0.00,30.06,30.10, 7.3,04,7.4,2012,2,6
37,11,2012-02-07,70,49,60, 6,51,55,5, 0,0714,1808,BR,0.0,0.00,30.07,30.11, 5.6,04,6.3,2012,2,7
38,11,2012-02-08,73,45,59, 5,44,50,6, 0,0713,1809,BR,0.0,0.00,30.08,30.12, 3.5,34,4.7,2012,2,8
39,11,2012-02-09,68,42,55, 1,42,48,10, 0,0712,1810, ,0.0,0.00,30.14,30.18, 5.1,02,6.2,2012,2,9
40,11,2012-02-10,73,50,62, 8,54,57,3, 0,0712,1811,RA BR,0.0,0.02,30.02,30.04, 1.4,31,3.8,2012,2,10
41,11,2012-02-11,59,34,47,-8,35,44,18, 0,0711,1811,BR HZ,0.0,0.05,29.93,29.99,12.0,30,12.6,2012,2,11
42,11,2012-02-12,48,24,36,-20,9,27,29, 0,0710,1812, ,0.0,0.00,30.27,30.32, 4.7,31,5.0,2012,2,12
43,11,2012-02-13,60,21,41,-15,24,34,24, 0,0709,1813, ,0.0,0.00,30.22,30.25, 2.1,12,2.6,2012,2,13
44,11,2012-02-14,68,35,52,-4,46,50,13, 0,0708,1814,RA BR,0.0,0.11,30.06,30.09, 1.3,18,3.4,2012,2,14
45,11,2012-02-15,66,58,62, 6,59,60,3, 0,0707,1815,FG+ FG BR,0.0,0.06,30.12,30.17, 2.4,05,3.8,2012,2,15
46,11,2012-02-16,77,56,67,11,60,62,0, 2,0706,1815,RA FG+ BR,0.0,0.01,30.10,30.12, 3.7,23,4.9,2012,2,16
47,11,2012-02-17,68,59,64, 8,61,61,1, 0,0705,1816,RA DZ BR,0.0,0.14,30.01,30.04, 2.8,07,4.0,2012,2,17
48,11,2012-02-18,70,56,63, 6,58,60,2, 0,0705,1817,BR,0.0,0.00,29.95,29.96, 3.6,07,4.3,2012,2,18
49,11,2012-02-19,83,58,71,14,57,62,0, 6,0704,1818,BR,0.0,  T,29.73,29.77,11.1,23,13.9,2012,2,19
50,11,2012-02-20,58,43,51,-6,40,46,14, 0,0703,1819, ,0.0,0.00,30.09,30.16, 5.6,03,8.9,2012,2,20
51,11,2012-02-21,71,40,56,-1,47,51,9, 0,0702,1819, ,0.0,  T,30.16,30.19, 1.6,19,2.9,2012,2,21
52,11,2012-02-22,75,47,61, 4,55,58,4, 0,0701,1820,TS FG BR,0.0,0.17,29.96,29.97, 6.2,22,6.3,2012,2,22
53,11,2012-02-23,84,65,75,18,65,68,0,10,0660,1821, ,0.0,0.19,29.80,29.84,12.4,23,12.9,2012,2,23
54,11,2012-02-24,84,60,72,15,62,66,0, 7,0659,1822, ,0.0,0.06,29.83,29.89,12.8,23,14.3,2012,2,24
55,11,2012-02-25,60,42,51,-7,26,43,14, 0,0658,1822, ,0.0,  T,30.16,30.22, 5.8,33,7.0,2012,2,25
56,11,2012-02-26,57,40,49,-9,45,48,16, 0,0656,1823,RA BR,0.0,0.13,30.31,30.36, 4.9,03,5.4,2012,2,26
57,11,2012-02-27,72,55,64, 6,61,62,1, 0,0655,1824,RA BR,0.0,0.20,30.27,30.30, 1.4,28,3.2,2012,2,27
58,11,2012-02-28,72,59,66, 8,59,61,0, 1,0654,1825,DZ BR,0.0,  T,30.27,30.30, 3.9,04,4.6,2012,2,28
59,11,2012-02-29,84,59,72,14,60,64,0, 7,0650,1823,FG+,0.0,0.00,30.14,30.15, 4.6,22,5.1,2012,2,29
60,11,2012-03-01,80,65,73,15,62,66,0, 8,0653,1825, ,0.0,0.00,29.99,30.02, 9.4,23,9.7,2012,3,1
61,11,2012-03-02,82,64,73,15,61,65,0, 8,0652,1826, ,0.0,0.00,29.94,29.97, 9.2,23,9.4,2012,3,2
62,11,2012-03-03,88,63,76,17,63,67,0,11,0651,1827,RA MIFG BR,0.0,0.00,29.77,29.78,11.9,21,13.3,2012,3,3
63,11,2012-03-04,74,42,M,M,34,45,M,M,0650,1827,RA BR,0.0,0.59,29.88,29.97,10.9,30,11.8,2012,3,4
64,11,2012-03-05,77,37,57,-2,31,45,8, 0,0649,1828, ,0.0,0.00,30.22,30.28, 8.0,27,10.3,2012,3,5
65,11,2012-03-06,71,40,56,-3,43,51,9, 0,0648,1829, ,0.0,0.00,30.42,30.47, 10.0,07,10.9,2012,3,6
66,11,2012-03-07,76,58,67, 7,52,58,0, 2,0646,1829, ,0.0,0.00,30.40,30.43, 9.3,10,9.7,2012,3,7
67,11,2012-03-08,79,52,66, 5,58,61,0, 1,0645,1830, ,0.0,  T,30.25,30.27, 6.2,13,6.6,2012,3,8
68,11,2012-03-09,84,57,71,10,60,64,0, 6,0644,1831,BR,0.0,0.00,30.12,30.16, 2.7,26,6.5,2012,3,9
69,11,2012-03-10,67,59,63, 2,52,57,2, 0,0643,1831, ,0.0,0.00,30.24,30.29,16.2,04,16.3,2012,3,10
70,11,2012-03-11,75,60,68, 7,55,60,0, 3,0642,1832, ,0.0,0.00,30.31,30.35,11.2,08,12.2,2012,3,11
71,11,2012-03-12,77,59,68, 7,54,60,0, 3,0641,1833, ,0.0,0.00,30.27,30.30, 8.0,11,8.4,2012,3,12
72,11,2012-03-13,80,53,67, 6,56,60,0, 2,0639,1833, ,0.0,0.00,30.22,30.24, 3.0,13,3.5,2012,3,13
73,11,2012-03-14,84,56,70, 8,58,62,0, 5,0638,1834,RA BR,0.0,0.06,30.18,30.22, 2.3,11,3.8,2012,3,14
74,11,2012-03-15,82,53,68, 6,59,62,0, 3,0637,1835,BR,0.0,0.00,30.20,30.24, 3.5,09,3.7,2012,3,15
75,11,2012-03-16,84,55,70, 8,57,62,0, 5,0636,1835,FG+ BR,0.0,0.00,30.18,30.22, 3.4,12,4.0,2012,3,16
76,11,2012-03-17,84,56,70, 8,58,62,0, 5,0635,1836,TS MIFG BR,0.0,0.00,30.17,30.21, 2.4,15,4.4,2012,3,17
77,11,2012-03-18,84,52,68, 6,56,61,0, 3,0633,1837,MIFG BR,0.0,0.00,30.19,30.22, 3.1,13,3.7,2012,3,18
78,11,2012-03-19,84,54,69, 7,57,62,0, 4,0632,1837,BR,0.0,0.00,30.14,30.16, 3.2,11,3.8,2012,3,19
79,11,2012-03-20,82,55,69, 6,59,62,0, 4,0631,1838,BR,0.0,0.00,30.09,30.13, 5.3,11,5.8,2012,3,20
80,11,2012-03-21,81,58,70, 7,62,65,0, 5,0630,1839,RA BR,0.0,0.02,30.11,30.16, 8.3,12,9.1,2012,3,21
81,11,2012-03-22,83,60,72, 9,62,65,0, 7,0628,1839,BR,0.0,0.00,30.11,30.15, 6.0,12,6.3,2012,3,22
82,11,2012-03-23,87,58,73,10,62,65,0, 8,0627,1840,BR,0.0,0.17,30.05,30.07, 1.7,16,3.1,2012,3,23
83,11,2012-03-24,76,61,69, 6,64,65,0, 4,0626,1841,RA BR,0.0,0.60,29.91,29.93, 4.7,22,5.3,2012,3,24
84,11,2012-03-25,77,56,67, 4,51,58,0, 2,0625,1841, ,0.0,0.00,29.80,29.84, 9.4,27,9.9,2012,3,25
85,11,2012-03-26,79,50,65, 2,51,57,0, 0,0624,1842, ,0.0,0.00,29.90,29.96, 0.5,16,4.6,2012,3,26
86,11,2012-03-27,80,51,66, 3,56,60,0, 1,0622,1842,FG BR,0.0,0.00,30.09,30.15, 5.7,05,6.5,2012,3,27
87,11,2012-03-28,84,53,69, 5,57,61,0, 4,0621,1843,TS FG+ FG BR,0.0,0.00,30.12,30.14, 3.0,16,4.1,2012,3,28
88,11,2012-03-29,86,60,73, 9,57,63,0, 8,0620,1844, ,0.0,0.00,29.98,30.02, 3.2,25,4.7,2012,3,29
89,11,2012-03-30,86,55,71, 7,59,64,0, 6,0619,1844,HZ FU,0.0,0.00,29.96,29.99, 3.0,17,4.1,2012,3,30
90,11,2012-03-31,76,62,69, 5,63,64,0, 4,0617,1845,TS TSRA RA FG BR,0.0,0.73,29.86,29.90, 4.4,22,6.6,2012,3,31
91,11,2012-04-01,86,58,72, 8,60,64,0, 7,0616,1846,BR,0.0,0.00,29.83,29.86, 5.5,28,6.0,2012,4,1
92,11,2012-04-02,90,63,77,13,61,66,0,12,0615,1846,BR,0.0,0.00,29.82,29.86, 6.7,28,7.6,2012,4,2
93,11,2012-04-03,89,61,75,11,64,68,0,10,0614,1847,TS FG+ BR HZ,0.0,0.13,29.88,29.93, 1.4,18,5.6,2012,4,3
94,11,2012-04-04,88,65,77,13,64,68,0,12,0613,1847,RA,0.0,  T,29.83,29.85, 7.0,24,7.2,2012,4,4
95,11,2012-04-05,88,62,75,11,61,66,0,10,0611,1848, ,0.0,  T,29.72,29.74, 7.6,24,8.1,2012,4,5
96,11,2012-04-06,79,58,69, 5,57,61,0, 4,0610,1849,BR,0.0,0.00,29.77,29.85, 5.6,01,10.0,2012,4,6
97,11,2012-04-07,72,45,59,-5,46,53,6, 0,0609,1849, ,0.0,0.00,30.11,30.17, 6.8,05,7.6,2012,4,7
98,11,2012-04-08,79,44,62,-3,46,53,3, 0,0608,1850, ,0.0,0.00,30.14,30.15, 2.1,15,3.6,2012,4,8
99,11,2012-04-09,82,53,68, 3,55,60,0, 3,0607,1851,FU,0.0,0.00,30.02,30.05, 2.0,19,4.8,2012,4,9
100,11,2012-04-10,82,54,68, 3,50,58,0, 3,0606,1851,BR FU,0.0,0.00,29.98,30.02, 1.0,08,3.5,2012,4,10
101,11,2012-04-11,81,53,67, 1,46,56,0, 2,0604,1852,FU,0.0,0.00,29.96,30.00, 6.3,30,7.2,2012,4,11
102,11,2012-04-12,71,51,61,-5,49,54,4, 0,0603,1852, ,0.0,0.00,30.06,30.11, 9.1,03,9.6,2012,4,12
103,11,2012-04-13,76,51,64,-2,55,59,1, 0,0602,1853, ,0.0,0.00,30.11,30.16, 9.4,07,9.6,2012,4,13
104,11,2012-04-14,80,60,70, 4,58,63,0, 5,0601,1854, ,0.0,  T,30.19,30.23, 7.0,12,9.2,2012,4,14
105,11,2012-04-15,82,64,73, 6,58,64,0, 8,0560,1854, ,0.0,0.00,30.19,30.22, 7.9,13,8.5,2012,4,15
