,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,sunset,codesum,sunrise
0,7,2012-01-01,50.0,33.0,42.0,7.0,26.0,35.0,23.0,0.0,0.0,0.0,29.15,30.54,10.3,32.0,10.2,2012,1,1,-, ,-
1,7,2012-01-02,44.0,26.0,35.0,13.0,17.0,29.0,30.0,0.0,0.0,0.0,29.23,30.66,5.7,34.0,6.9,2012,1,2,-, ,-
2,7,2012-01-03,60.0,27.0,44.0,7.0,22.0,35.0,21.0,0.0,0.0,0.0,28.84,30.3,15.7,19.0,15.9,2012,1,3,-, ,-
3,7,2012-01-04,58.0,32.0,45.0,6.0,28.0,37.0,20.0,0.0,0.0,0.0,28.9,30.31,5.0,33.0,7.4,2012,1,4,-, ,-
4,7,2012-01-05,66.0,28.0,47.0,7.0,29.0,40.0,18.0,0.0,0.0,0.0,28.71,30.13,12.2,20.0,12.4,2012,1,5,-, ,-
5,7,2012-01-06,67.0,41.0,54.0,1.0,31.0,42.0,11.0,0.0,0.0,0.0,28.51,29.89,7.3,22.0,14.4,2012,1,6,-, ,-
6,7,2012-01-07,58.0,33.0,46.0,1.0,25.0,37.0,19.0,0.0,0.0,0.0,28.69,30.06,9.8,2.0,10.4,2012,1,7,-, ,-
7,7,2012-01-08,51.0,39.0,45.0,7.0,26.0,37.0,20.0,0.0,0.0,0.0,28.78,30.16,10.6,1.0,10.8,2012,1,8,-, ,-
8,7,2012-01-09,52.0,27.0,40.0,7.0,26.0,34.0,25.0,0.0,0.0,0.0,28.79,30.21,8.6,36.0,8.8,2012,1,9,-, ,-
9,7,2012-01-10,55.0,32.0,44.0,1.0,28.0,36.0,21.0,0.0,0.0,0.10714596949891067,28.51,29.95,5.0,36.0,6.5,2012,1,10,-,RA,-
10,7,2012-01-11,53.0,28.0,41.0,7.0,27.0,34.0,24.0,0.0,0.0,0.10714596949891067,28.47,29.84,12.5,34.0,15.8,2012,1,11,-,SN BR,-
11,7,2012-01-12,36.0,18.0,27.0,6.0,3.0,21.0,38.0,0.0,0.0,0.0,28.77,30.17,12.4,31.0,12.8,2012,1,12,-, ,-
12,7,2012-01-13,52.0,17.0,35.0,13.0,17.0,28.0,30.0,0.0,0.0,0.0,28.76,30.18,5.9,22.0,6.5,2012,1,13,-, ,-
13,7,2012-01-14,57.0,29.0,43.0,5.0,16.0,33.0,22.0,0.0,0.0,0.0,28.83,30.23,2.6,32.0,7.8,2012,1,14,-, ,-
14,7,2012-01-15,61.0,32.0,47.0,8.0,30.0,41.0,18.0,0.0,0.0,0.0,28.61,30.02,18.9,18.0,19.3,2012,1,15,-, ,-
15,7,2012-01-16,68.0,51.0,60.0,8.0,48.0,53.0,5.0,0.0,0.0,0.0,28.41,29.8,20.6,19.0,20.9,2012,1,16,-, ,-
16,7,2012-01-17,62.0,24.0,43.0,7.0,17.0,27.0,22.0,0.0,0.0,0.0,28.9,30.27,15.2,35.0,16.8,2012,1,17,-, ,-
17,7,2012-01-18,46.0,21.0,34.0,13.0,18.0,29.0,31.0,0.0,0.0,0.0,28.71,30.14,10.4,19.0,11.6,2012,1,18,-, ,-
18,7,2012-01-19,52.0,28.0,40.0,7.0,27.0,34.0,25.0,0.0,0.0,0.0,28.48,29.9,2.3,34.0,10.2,2012,1,19,-, ,-
19,7,2012-01-20,47.0,27.0,37.0,7.0,24.0,31.0,28.0,0.0,0.0,0.0,28.46,29.84,9.8,36.0,11.5,2012,1,20,-,BR HZ,-
20,7,2012-01-21,43.0,19.0,31.0,13.0,16.0,26.0,34.0,0.0,0.0,0.0,28.56,30.0,2.0,8.0,12.7,2012,1,21,-, ,-
21,7,2012-01-22,68.0,35.0,52.0,8.0,34.0,42.0,13.0,0.0,0.0,0.0,28.27,29.63,13.5,21.0,22.1,2012,1,22,-,BR HZ BLDU,-
22,7,2012-01-23,57.0,31.0,44.0,5.0,24.0,36.0,21.0,0.0,0.0,0.0,28.64,30.02,3.2,23.0,7.5,2012,1,23,-,BLDU,-
23,7,2012-01-24,64.0,43.0,54.0,2.0,31.0,42.0,11.0,0.0,0.0,0.82,28.64,30.01,12.3,14.0,14.2,2012,1,24,-,RA BR,-
24,7,2012-01-25,49.0,37.0,43.0,1.0,40.0,42.0,22.0,0.0,0.0,0.24,28.59,30.0,10.9,1.0,11.8,2012,1,25,-,RA BR,-
25,7,2012-01-26,54.0,30.0,42.0,1.0,33.0,38.0,23.0,0.0,0.0,0.0,28.59,29.98,5.7,33.0,7.1,2012,1,26,-,BR,-
26,7,2012-01-27,62.0,34.0,48.0,1.0,31.0,40.0,17.0,0.0,0.0,0.0,28.61,29.96,4.3,24.0,16.6,2012,1,27,-, ,-
27,7,2012-01-28,48.0,27.0,38.0,7.0,22.0,31.0,27.0,0.0,0.0,0.0,29.02,30.42,3.7,27.0,6.9,2012,1,28,-, ,-
28,7,2012-01-29,57.0,31.0,44.0,7.0,28.0,37.0,21.0,0.0,0.0,0.0,28.87,30.29,13.1,21.0,13.2,2012,1,29,-, ,-
29,7,2012-01-30,65.0,42.0,54.0,8.0,38.0,46.0,11.0,0.0,0.0,0.0,28.62,30.03,19.5,19.0,19.8,2012,1,30,-, ,-
30,7,2012-01-31,66.0,42.0,54.0,16.0,44.0,50.0,11.0,0.0,0.0,0.0,28.61,29.96,12.3,21.0,15.0,2012,1,31,-, ,-
31,7,2012-02-01,65.0,34.0,50.0,6.0,33.0,42.0,15.0,0.0,0.0,0.0,28.74,30.12,4.4,1.0,4.6,2012,2,1,-, ,-
32,7,2012-02-02,64.0,35.0,50.0,10.0,42.0,48.0,15.0,0.0,0.0,0.0,28.66,30.07,9.7,13.0,10.7,2012,2,2,-, ,-
33,7,2012-02-03,63.0,43.0,53.0,2.0,52.0,53.0,12.0,0.0,0.0,0.91,28.56,29.92,3.7,15.0,15.1,2012,2,3,-,TS RA BR VCTS,-
34,7,2012-02-04,43.0,37.0,40.0,7.0,34.0,38.0,25.0,0.0,0.0,0.0,28.87,30.24,16.0,33.0,16.3,2012,2,4,-, ,-
35,7,2012-02-05,49.0,34.0,42.0,7.0,28.0,35.0,23.0,0.0,0.0,0.0,28.97,30.38,12.6,36.0,12.8,2012,2,5,-, ,-
36,7,2012-02-06,54.0,26.0,40.0,6.0,25.0,34.0,25.0,0.0,0.0,0.0,28.86,30.28,0.4,22.0,1.0,2012,2,6,-, ,-
37,7,2012-02-07,52.0,34.0,43.0,7.0,32.0,38.0,22.0,0.0,0.0,0.0,28.92,30.3,8.9,35.0,9.1,2012,2,7,-,BR,-
38,7,2012-02-08,37.0,31.0,34.0,7.0,28.0,32.0,31.0,0.0,0.0,0.0,29.01,30.44,5.4,35.0,6.9,2012,2,8,-,HZ,-
39,7,2012-02-09,42.0,31.0,37.0,13.0,32.0,35.0,28.0,0.0,0.0,0.1,28.81,30.24,5.0,15.0,7.1,2012,2,9,-,RA BR HZ,-
40,7,2012-02-10,40.0,25.0,33.0,7.0,25.0,30.0,32.0,0.0,0.0,0.0,28.87,30.27,13.7,35.0,14.5,2012,2,10,-,FG+ FZFG BR,-
41,7,2012-02-11,28.0,19.0,24.0,12.0,9.0,19.0,41.0,0.0,0.0,0.0,29.2,30.63,13.1,1.0,13.5,2012,2,11,-, ,-
42,7,2012-02-12,35.0,19.0,27.0,6.0,12.0,23.0,38.0,0.0,0.0,0.10714596949891067,28.95,30.44,10.2,16.0,11.5,2012,2,12,-,SN BR,-
43,7,2012-02-13,37.0,27.0,32.0,7.0,30.0,32.0,33.0,0.0,0.0,0.10714596949891067,28.48,29.93,14.9,19.0,15.5,2012,2,13,-,FZRA SN FG+ FZFG BR,-
44,7,2012-02-14,51.0,25.0,38.0,1.0,35.0,37.0,27.0,0.0,0.0,0.0,28.51,29.91,7.8,18.0,8.4,2012,2,14,-,FG+ FZFG BR,-
45,7,2012-02-15,66.0,40.0,53.0,1.0,42.0,47.0,12.0,0.0,0.0,0.01,28.54,29.89,6.8,22.0,15.1,2012,2,15,-,RA FG+ FG BR,-
46,7,2012-02-16,57.0,36.0,47.0,1.0,33.0,41.0,18.0,0.0,0.0,0.10714596949891067,28.84,30.22,8.4,2.0,9.7,2012,2,16,-,RA BR,-
47,7,2012-02-17,56.0,37.0,47.0,5.0,39.0,43.0,18.0,0.0,0.0,0.02,28.71,30.11,1.2,13.0,4.1,2012,2,17,-,RA BR HZ,-
48,7,2012-02-18,47.0,39.0,43.0,1.0,39.0,41.0,22.0,0.0,0.0,0.02,28.68,30.07,10.5,1.0,11.5,2012,2,18,-,RA BR,-
49,7,2012-02-19,56.0,29.0,43.0,1.0,35.0,40.0,22.0,0.0,0.0,0.0,28.64,30.05,4.7,17.0,7.1,2012,2,19,-,BR,-
50,7,2012-02-20,61.0,39.0,50.0,8.0,38.0,43.0,15.0,0.0,0.0,0.10714596949891067,28.51,29.89,16.1,20.0,20.7,2012,2,20,-,TS RA BR HZ,-
51,7,2012-02-21,66.0,28.0,47.0,5.0,25.0,38.0,18.0,0.0,0.0,0.0,28.56,29.96,6.8,22.0,8.8,2012,2,21,-, ,-
52,7,2012-02-22,73.0,33.0,53.0,5.0,32.0,43.0,12.0,0.0,0.0,0.0,28.22,29.65,5.3,20.0,7.0,2012,2,22,-, ,-
53,7,2012-02-23,63.0,45.0,54.0,3.0,32.0,44.0,11.0,0.0,0.0,0.0,28.25,29.55,12.2,33.0,17.6,2012,2,23,-, ,-
54,7,2012-02-24,53.0,33.0,43.0,7.0,24.0,35.0,22.0,0.0,0.0,0.0,28.85,30.2,6.1,31.0,8.3,2012,2,24,-, ,-
55,7,2012-02-25,63.0,26.0,45.0,7.0,20.0,37.0,20.0,0.0,0.0,0.0,28.76,30.17,14.0,18.0,14.4,2012,2,25,-, ,-
56,7,2012-02-26,63.0,44.0,54.0,8.0,31.0,43.0,11.0,0.0,0.0,0.0,28.66,30.03,13.9,19.0,16.4,2012,2,26,-, ,-
57,7,2012-02-27,63.0,41.0,52.0,10.0,34.0,45.0,13.0,0.0,0.0,0.0,28.86,30.24,7.4,10.0,11.0,2012,2,27,-, ,-
58,7,2012-02-28,69.0,54.0,62.0,8.0,50.0,55.0,3.0,0.0,0.0,0.02,28.48,29.87,18.6,17.0,21.0,2012,2,28,-,RA BR HZ,-
59,7,2012-02-29,66.0,42.0,54.0,2.0,27.0,43.0,11.0,0.0,0.0,0.0,28.54,29.93,2.5,25.0,7.7,2012,2,29,-, ,-
60,7,2012-03-01,77.0,44.0,61.0,8.0,30.0,47.0,4.0,0.0,0.0,0.0,28.25,29.63,14.0,19.0,14.7,2012,3,1,-, ,-
61,7,2012-03-02,60.0,39.0,50.0,1.0,28.0,40.0,15.0,0.0,0.0,0.0,28.48,29.8,12.8,34.0,14.3,2012,3,2,-, ,-
62,7,2012-03-03,55.0,31.0,43.0,1.0,20.0,36.0,22.0,0.0,0.0,0.0,28.7,30.06,7.0,32.0,8.1,2012,3,3,-, ,-
63,7,2012-03-04,71.0,32.0,52.0,5.0,25.0,40.0,13.0,0.0,0.0,0.0,28.71,30.08,7.2,26.0,9.1,2012,3,4,-, ,-
64,7,2012-03-05,75.0,40.0,58.0,8.0,29.0,45.0,7.0,0.0,0.0,0.0,28.77,30.17,12.0,16.0,16.0,2012,3,5,-, ,-
65,7,2012-03-06,70.0,56.0,63.0,8.0,44.0,52.0,2.0,0.0,0.0,0.0,28.51,29.9,28.4,18.0,28.7,2012,3,6,-, ,-
66,7,2012-03-07,74.0,61.0,68.0,16.0,55.0,60.0,0.0,3.0,0.0,0.0,28.46,29.82,24.7,17.0,24.9,2012,3,7,-, ,-
67,7,2012-03-08,66.0,35.0,51.0,8.0,34.0,38.0,14.0,0.0,0.0,0.84,28.95,30.28,17.6,1.0,19.6,2012,3,8,-,RA BR VCTS,-
68,7,2012-03-09,61.0,30.0,46.0,5.0,26.0,39.0,19.0,0.0,0.0,0.0,29.06,30.45,6.5,4.0,7.5,2012,3,9,-, ,-
69,7,2012-03-10,62.0,36.0,49.0,10.0,34.0,42.0,16.0,0.0,0.0,0.03,28.83,30.25,10.2,15.0,10.7,2012,3,10,-,RA,-
70,7,2012-03-11,59.0,46.0,53.0,8.0,45.0,48.0,12.0,0.0,0.0,0.39,28.51,29.93,13.2,17.0,13.8,2012,3,11,-,RA BR,-
71,7,2012-03-12,75.0,51.0,63.0,16.0,45.0,52.0,2.0,0.0,0.0,0.0,28.53,29.89,12.4,20.0,13.0,2012,3,12,-, ,-
72,7,2012-03-13,81.0,54.0,68.0,16.0,54.0,59.0,0.0,3.0,0.0,0.0,28.59,29.94,15.7,19.0,16.2,2012,3,13,-,BR,-
73,7,2012-03-14,76.0,66.0,71.0,16.0,62.0,65.0,0.0,6.0,0.0,0.0,28.61,29.96,18.7,19.0,18.5,2012,3,14,-, ,-
74,7,2012-03-15,79.0,66.0,73.0,16.0,63.0,66.0,0.0,8.0,0.0,0.0,28.62,29.97,17.6,19.0,17.4,2012,3,15,-, ,-
75,7,2012-03-16,77.0,63.0,70.0,16.0,62.0,65.0,0.0,5.0,0.0,0.0,28.56,29.93,16.9,19.0,17.3,2012,3,16,-,BR,-
76,7,2012-03-17,77.0,66.0,72.0,14.0,62.0,65.0,0.0,7.0,0.0,0.0,28.51,29.85,20.7,18.0,21.0,2012,3,17,-, ,-
77,7,2012-03-18,73.0,65.0,69.0,16.0,61.0,64.0,0.0,4.0,0.0,0.10714596949891067,28.43,29.8,22.1,17.0,22.2,2012,3,18,-,RA,-
78,7,2012-03-19,71.0,54.0,63.0,2.0,55.0,56.0,2.0,0.0,0.0,2.34,28.34,29.69,7.0,15.0,9.9,2012,3,19,-,TSRA RA BR VCTS,-
79,7,2012-03-20,61.0,48.0,55.0,3.0,48.0,52.0,10.0,0.0,0.0,0.02,28.4,29.74,5.0,16.0,10.1,2012,3,20,-,RA BR VCTS,-
80,7,2012-03-21,65.0,44.0,55.0,2.0,44.0,48.0,10.0,0.0,0.0,0.03,28.42,29.78,1.0,7.0,4.4,2012,3,21,-,TSRA RA BR HZ,-
81,7,2012-03-22,57.0,46.0,52.0,2.0,43.0,46.0,13.0,0.0,0.0,0.10714596949891067,28.46,29.82,3.4,22.0,6.8,2012,3,22,-,RA,-
82,7,2012-03-23,68.0,42.0,55.0,2.0,44.0,50.0,10.0,0.0,0.0,0.0,28.61,29.97,4.8,29.0,7.7,2012,3,23,-, ,-
83,7,2012-03-24,77.0,44.0,61.0,2.0,48.0,54.0,4.0,0.0,0.0,0.0,28.64,30.01,2.9,20.0,3.5,2012,3,24,-, ,-
84,7,2012-03-25,79.0,51.0,65.0,14.0,52.0,58.0,0.0,0.0,0.0,0.0,28.66,30.03,6.9,16.0,7.3,2012,3,25,-, ,-
85,7,2012-03-26,80.0,59.0,70.0,16.0,54.0,60.0,0.0,5.0,0.0,0.0,28.59,29.96,13.9,18.0,14.6,2012,3,26,-, ,-
86,7,2012-03-27,79.0,63.0,71.0,16.0,55.0,61.0,0.0,6.0,0.0,0.0,28.56,29.91,17.5,19.0,17.8,2012,3,27,-, ,-
87,7,2012-03-28,78.0,61.0,70.0,16.0,61.0,64.0,0.0,5.0,0.0,0.0,28.53,29.89,17.8,18.0,17.9,2012,3,28,-, ,-
88,7,2012-03-29,80.0,61.0,71.0,16.0,60.0,64.0,0.0,6.0,0.0,0.0,28.46,29.8,13.0,18.0,15.0,2012,3,29,-,BR,-
89,7,2012-03-30,80.0,60.0,70.0,4.0,59.0,63.0,0.0,5.0,0.0,0.0,28.43,29.78,5.3,19.0,6.1,2012,3,30,-,BR,-
90,7,2012-03-31,84.0,58.0,71.0,4.0,63.0,66.0,0.0,6.0,0.0,0.0,28.41,29.77,6.5,17.0,7.0,2012,3,31,-,FG+ BR HZ,-
91,7,2012-04-01,88.0,65.0,77.0,14.0,61.0,67.0,0.0,12.0,0.0,0.0,28.22,29.56,19.9,18.0,19.7,2012,4,1,-,BR,-
92,7,2012-04-02,83.0,66.0,63.396378269617706,16.0,60.0,65.0,8.440643863179075,6.837022132796781,0.0,0.10714596949891067,28.29,29.59,17.9,17.0,19.4,2012,4,2,-,TSRA,-
93,7,2012-04-03,66.0,56.0,61.0,1.0,56.0,58.0,4.0,0.0,0.0,0.56,28.45,29.79,5.4,2.0,6.8,2012,4,3,-,RA BR VCTS,-
94,7,2012-04-04,65.0,50.0,58.0,14.0,49.0,52.0,7.0,0.0,0.0,0.01,28.43,29.79,7.6,27.0,8.6,2012,4,4,-,RA BR,-
95,7,2012-04-05,66.0,49.0,58.0,14.0,51.0,54.0,7.0,0.0,0.0,0.0,28.53,29.89,7.2,33.0,7.9,2012,4,5,-, ,-
96,7,2012-04-06,70.0,49.0,60.0,14.0,52.0,55.0,5.0,0.0,0.0,0.0,28.63,30.0,6.6,12.0,8.5,2012,4,6,-,BR HZ,-
97,7,2012-04-07,69.0,56.0,63.0,2.0,56.0,58.0,2.0,0.0,0.0,0.10714596949891067,28.79,30.13,3.0,5.0,12.0,2012,4,7,-,TS RA BR HZ,-
98,7,2012-04-08,62.0,50.0,56.0,3.0,52.0,55.0,9.0,0.0,0.0,0.0,28.87,30.25,3.2,4.0,5.2,2012,4,8,-,BR,-
99,7,2012-04-09,71.0,53.0,62.0,14.0,58.0,60.0,3.0,0.0,0.0,0.10714596949891067,28.75,30.12,6.6,18.0,7.5,2012,4,9,-,BR,-
100,7,2012-04-10,77.0,53.0,65.0,2.0,58.0,61.0,0.0,0.0,0.0,0.0,28.71,30.07,5.1,6.0,5.8,2012,4,10,-,FG+ FG BR HZ,-
101,7,2012-04-11,63.0,54.0,59.0,16.0,53.0,56.0,6.0,0.0,0.0,0.11,28.72,30.09,11.6,9.0,12.7,2012,4,11,-,TSRA RA BR VCTS,-
102,7,2012-04-12,72.0,56.0,64.0,16.0,55.0,59.0,1.0,0.0,0.0,0.0,28.53,29.92,20.3,15.0,20.6,2012,4,12,-, ,-
103,7,2012-04-13,76.0,63.0,70.0,16.0,62.0,64.0,0.0,5.0,0.0,0.93,28.45,29.81,15.0,17.0,16.1,2012,4,13,-,TSRA RA BR VCTS,-
