,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day
0,14,2012-01-01,50.0,34.0,42.0,5.0,25.0,35.0,23.0,0.0,0739,1729, ,0.0,0.0,29.13,30.52,11.4,32.0,11.3,2012,1,1
1,14,2012-01-02,45.0,26.0,36.0,1.0,16.0,29.0,29.0,0.0,0739,1729, ,0.0,0.0,29.21,30.65,6.3,35.0,7.4,2012,1,2
2,14,2012-01-03,60.0,24.0,42.0,5.0,23.0,33.0,23.0,0.0,0740,1730, ,0.0,0.0,28.84,30.3,12.4,18.0,12.7,2012,1,3
3,14,2012-01-04,58.0,32.0,45.0,9.0,27.0,37.0,20.0,0.0,0740,1731, ,0.0,0.0,28.89,30.29,6.1,34.0,7.6,2012,1,4
4,14,2012-01-05,67.0,29.0,48.0,12.0,28.0,38.0,17.0,0.0,0740,1732, ,0.0,0.0,28.71,30.14,9.8,21.0,10.3,2012,1,5
5,14,2012-01-06,67.0,37.0,52.0,16.0,31.0,42.0,13.0,0.0,0740,1733, ,0.0,0.0,28.5,29.89,5.1,21.0,12.2,2012,1,6
6,14,2012-01-07,59.0,38.0,49.0,13.0,24.0,38.0,16.0,0.0,0740,1734, ,0.0,0.0,28.66,30.05,11.0,3.0,11.8,2012,1,7
7,14,2012-01-08,51.0,42.0,47.0,11.0,26.0,38.0,18.0,0.0,0740,1735, ,0.0,0.0,28.76,30.14,10.5,2.0,10.8,2012,1,8
8,14,2012-01-09,51.0,32.0,42.0,6.0,26.0,35.0,23.0,0.0,0740,1735, ,0.0,0.0,28.77,30.19,10.5,36.0,10.6,2012,1,9
9,14,2012-01-10,54.0,30.0,42.0,6.0,28.0,37.0,23.0,0.0,0740,1736,RA,0.0,0.11490889603429796,28.5,29.93,6.6,36.0,8.0,2012,1,10
10,14,2012-01-11,56.0,29.0,43.0,7.0,28.0,35.0,22.0,0.0,0740,1737,SN,0.019621513944223106,0.11490889603429796,28.45,29.82,14.2,35.0,15.6,2012,1,11
11,14,2012-01-12,37.0,18.0,28.0,8.0,2.0,22.0,37.0,0.0,0739,1738, ,0.0,0.0,28.76,30.16,16.8,32.0,17.3,2012,1,12
12,14,2012-01-13,52.0,18.0,35.0,1.0,15.0,27.0,30.0,0.0,0739,1739, ,0.0,0.0,28.74,30.17,4.4,23.0,5.8,2012,1,13
13,14,2012-01-14,58.0,29.0,44.0,8.0,15.0,33.0,21.0,0.0,0739,1740, ,0.0,0.0,28.81,30.22,2.9,34.0,7.6,2012,1,14
14,14,2012-01-15,61.0,28.0,45.0,9.0,31.0,40.0,20.0,0.0,0739,1741, ,0.0,0.0,28.61,30.03,14.7,17.0,15.1,2012,1,15
15,14,2012-01-16,69.0,52.0,61.0,25.0,49.0,53.0,4.0,0.0,0738,1742, ,0.0,0.0,28.41,29.81,19.7,20.0,20.0,2012,1,16
16,14,2012-01-17,62.0,25.0,44.0,8.0,17.0,28.0,21.0,0.0,0738,1743, ,0.0,0.0,28.89,30.25,16.4,35.0,17.9,2012,1,17
17,14,2012-01-18,46.0,17.0,32.0,4.0,18.0,28.0,33.0,0.0,0738,1744, ,0.0,0.0,28.71,30.15,7.5,19.0,9.0,2012,1,18
18,14,2012-01-19,54.0,30.0,42.0,6.0,27.0,35.0,23.0,0.0,0737,1745, ,0.0,0.0,28.48,29.9,4.0,36.0,9.4,2012,1,19
19,14,2012-01-20,48.0,28.0,38.0,1.0,24.0,32.0,27.0,0.0,0737,1746, ,0.0,0.0,28.45,29.82,9.4,36.0,11.7,2012,1,20
