,store_nbr,item_nbr,cool,heat,preciptotal,snowfall,is_holiday
0,1,9,0.0,23.0,0.05,0.0,1
1,1,28,0.0,23.0,0.05,0.0,1
2,1,51,0.0,23.0,0.05,0.0,1
3,1,28,0.0,24.0,0.01,0.0,1
4,1,51,0.0,24.0,0.01,0.0,1
5,1,9,0.0,43.0,0.0,0.0,0
6,1,28,0.0,43.0,0.0,0.0,0
7,1,9,0.0,46.0,0.0,0.2,0
8,1,28,0.0,46.0,0.0,0.2,0
9,1,9,0.0,33.0,0.0,0.9,0
10,1,28,0.0,33.0,0.0,0.9,0
11,1,28,0.0,29.0,0.0,0.0,0
12,1,28,0.0,22.0,0.0,0.0,1
13,1,9,0.0,29.0,0.0,0.0,1
14,1,28,0.0,29.0,0.0,0.0,1
15,1,51,0.0,29.0,0.0,0.0,1
16,1,28,0.0,34.0,0.0,0.0,0
17,1,51,0.0,34.0,0.0,0.0,0
18,1,9,0.0,27.0,0.0,0.0,0
19,1,9,0.0,33.0,0.0,0.0,0
20,1,28,0.0,33.0,0.0,0.0,0
21,1,40,0.0,33.0,0.0,0.0,0
22,1,51,0.0,33.0,0.0,0.0,0
23,1,9,0.0,29.0,0.69,0.0,0
24,1,28,0.0,29.0,0.69,0.0,0
25,1,51,0.0,29.0,0.69,0.0,0
26,1,93,0.0,29.0,0.69,0.0,0
27,1,9,0.0,25.0,0.02,0.0,0
28,1,28,0.0,25.0,0.02,0.0,0
29,1,40,0.0,25.0,0.02,0.0,0
30,1,51,0.0,25.0,0.02,0.0,0
31,1,9,0.0,40.0,0.0,0.0,1
32,1,28,0.0,40.0,0.0,0.0,1
33,1,51,0.0,40.0,0.0,0.0,1
34,1,9,0.0,55.0,0.0,0.2,1
35,1,28,0.0,55.0,0.0,0.2,1
36,1,40,0.0,55.0,0.0,0.2,1
37,1,89,0.0,55.0,0.0,0.2,1
38,1,9,0.0,45.0,0.05,0.0,1
39,1,28,0.0,45.0,0.05,0.0,1
40,1,51,0.0,45.0,0.05,0.0,1
41,1,9,0.0,26.0,0.09,0.0,0
42,1,9,0.0,30.0,0.0,0.0,0
43,1,28,0.0,30.0,0.0,0.0,0
44,1,9,0.0,43.0,0.02,0.0,0
45,1,28,0.0,43.0,0.02,0.0,0
46,1,40,0.0,43.0,0.02,0.0,0
47,1,51,0.0,43.0,0.02,0.0,0
48,1,9,0.0,40.0,0.08,0.9,0
49,1,28,0.0,40.0,0.08,0.9,0
50,1,40,0.0,40.0,0.08,0.9,0
51,1,51,0.0,40.0,0.08,0.9,0
52,1,9,0.0,48.0,0.12,0.0,1
53,1,28,0.0,48.0,0.12,0.0,1
54,1,40,0.0,48.0,0.12,0.0,1
55,1,51,0.0,48.0,0.12,0.0,1
56,1,28,0.0,47.0,0.0,0.0,1
57,1,40,0.0,47.0,0.0,0.0,1
58,1,51,0.0,47.0,0.0,0.0,1
59,1,93,0.0,47.0,0.0,0.0,1
60,1,28,0.0,27.0,0.12,0.0,0
61,1,40,0.0,27.0,0.12,0.0,0
62,1,51,0.0,27.0,0.12,0.0,0
63,1,28,0.0,17.0,0.0,0.0,0
64,1,51,0.0,17.0,0.0,0.0,0
65,1,28,0.0,26.0,0.0,0.0,0
66,1,40,0.0,26.0,0.0,0.0,0
67,1,9,0.0,27.0,0.15,0.0,0
68,1,28,0.0,27.0,0.15,0.0,0
69,1,51,0.0,27.0,0.15,0.0,0
70,1,9,0.0,25.0,1.14,0.0,0
71,1,28,0.0,25.0,1.14,0.0,0
72,1,28,0.0,25.0,0.0,0.0,1
73,1,40,0.0,25.0,0.0,0.0,1
74,1,28,0.0,28.0,0.0,0.0,1
75,1,40,0.0,28.0,0.0,0.0,1
76,1,51,0.0,28.0,0.0,0.0,1
77,1,93,0.0,28.0,0.0,0.0,1
78,1,28,0.0,33.0,0.07,0.0,0
79,1,9,0.0,30.0,0.0,0.0,0
80,1,28,0.0,30.0,0.0,0.0,0
81,1,28,0.0,21.0,0.01,0.0,0
82,1,28,0.0,28.0,0.0,0.0,0
83,1,28,0.0,34.0,0.0,0.0,0
84,1,28,0.0,32.0,0.07,0.0,1
85,1,40,0.0,32.0,0.07,0.0,1
86,1,28,0.0,38.0,0.0,1.0,1
87,1,93,0.0,38.0,0.0,1.0,1
88,1,9,0.0,26.0,0.0,0.0,0
89,1,28,0.0,26.0,0.0,0.0,0
90,1,9,0.0,29.0,0.0,0.0,0
91,1,28,0.0,29.0,0.0,0.0,0
92,1,93,0.0,29.0,0.0,0.0,0
93,1,9,0.0,37.0,0.0,0.0,0
94,1,28,0.0,37.0,0.0,0.0,0
95,1,51,0.0,37.0,0.0,0.0,0
96,1,93,0.0,37.0,0.0,0.0,0
97,1,9,0.0,27.0,0.0,0.0,0
98,1,28,0.0,27.0,0.0,0.0,0
99,1,9,0.0,27.0,0.0,0.0,0
100,1,28,0.0,27.0,0.0,0.0,0
101,1,93,0.0,27.0,0.0,0.0,0
102,1,9,0.0,31.0,0.0,0.0,1
103,1,28,0.0,31.0,0.0,0.0,1
104,1,28,0.0,45.0,0.0,0.0,1
105,1,9,0.0,37.0,0.0,0.0,0
106,1,28,0.0,37.0,0.0,0.0,0
107,1,28,0.0,31.0,0.0,0.0,0
108,1,28,0.0,26.0,0.0,0.0,0
109,1,93,0.0,26.0,0.0,0.0,0
110,1,28,0.0,28.0,0.05,0.0,0
111,1,51,0.0,28.0,0.05,0.0,0
112,1,28,0.0,21.0,0.0,0.0,0
113,1,9,0.0,25.0,0.0,0.0,1
114,1,28,0.0,25.0,0.0,0.0,1
115,1,93,0.0,25.0,0.0,0.0,1
116,1,9,0.0,29.0,0.0,0.0,1
117,1,28,0.0,29.0,0.0,0.0,1
118,1,9,0.0,32.0,0.0,0.0,1
119,1,28,0.0,32.0,0.0,0.0,1
120,1,40,0.0,32.0,0.0,0.0,1
121,1,9,0.0,33.0,0.0,0.0,0
122,1,28,0.0,33.0,0.0,0.0,0
123,1,9,0.0,20.0,0.0,0.0,0
124,1,28,0.0,20.0,0.0,0.0,0
125,1,93,0.0,20.0,0.0,0.0,0
126,1,9,0.0,20.0,0.07,0.0,0
127,1,28,0.0,20.0,0.07,0.0,0
128,1,9,0.0,28.0,0.77,0.0,0
129,1,28,0.0,28.0,0.77,0.0,0
130,1,28,0.0,27.0,0.0,0.0,1
131,1,9,0.0,33.0,0.0,0.0,1
132,1,28,0.0,33.0,0.0,0.0,1
133,1,9,0.0,29.0,0.0,0.0,0
134,1,28,0.0,29.0,0.0,0.0,0
135,1,9,0.0,27.0,0.0,0.0,0
136,1,28,0.0,27.0,0.0,0.0,0
137,1,9,0.0,31.0,0.2,0.0,0
138,1,28,0.0,31.0,0.2,0.0,0
139,1,51,0.0,31.0,0.2,0.0,0
140,1,28,0.0,36.0,0.47,0.0,0
141,1,9,0.0,39.0,0.0,0.0,0
142,1,28,0.0,39.0,0.0,0.0,0
143,1,40,0.0,39.0,0.0,0.0,0
144,1,51,0.0,39.0,0.0,0.0,0
145,1,93,0.0,39.0,0.0,0.0,0
146,1,9,0.0,28.0,0.47,0.0,1
147,1,28,0.0,28.0,0.47,0.0,1
148,1,51,0.0,28.0,0.47,0.0,1
149,1,93,0.0,28.0,0.47,0.0,1
150,1,9,0.0,29.0,0.0,0.0,1
151,1,28,0.0,29.0,0.0,0.0,1
152,1,93,0.0,29.0,0.0,0.0,1
153,1,28,0.0,36.0,0.0,0.0,0
154,1,9,0.0,37.0,0.0,0.0,0
155,1,28,0.0,37.0,0.0,0.0,0
156,1,9,0.0,21.0,0.0,0.0,0
157,1,28,0.0,21.0,0.0,0.0,0
158,1,28,0.0,5.0,0.0,0.0,0
159,1,28,0.0,17.0,0.03,0.0,0
160,1,9,0.0,30.0,0.03,0.0,1
161,1,28,0.0,30.0,0.03,0.0,1
162,1,28,0.0,21.0,0.0,0.0,1
163,1,9,0.0,9.0,0.0,0.0,0
164,1,28,0.0,9.0,0.0,0.0,0
165,1,9,0.0,1.0,0.0,0.0,0
166,1,28,0.0,1.0,0.0,0.0,0
167,1,9,0.0,12.0,0.15,0.0,0
168,1,28,0.0,12.0,0.15,0.0,0
169,1,9,0.0,24.0,0.0,0.0,0
170,1,28,0.0,24.0,0.0,0.0,0
171,1,28,0.0,24.0,0.07,0.0,0
172,1,9,0.0,19.0,0.0,0.0,1
173,1,28,0.0,19.0,0.0,0.0,1
174,1,93,0.0,19.0,0.0,0.0,1
175,1,9,0.0,5.0,0.0,0.0,1
176,1,28,0.0,5.0,0.0,0.0,1
177,1,93,0.0,5.0,0.0,0.0,1
178,1,9,0.0,2.0,0.0,0.0,0
179,1,28,0.0,2.0,0.0,0.0,0
180,1,28,0.0,3.0,0.0,0.0,0
181,1,28,5.0,0.0,0.0,0.0,0
182,1,28,6.0,0.0,0.0,0.0,0
183,1,28,2.0,0.0,0.0,0.0,0
184,1,93,2.0,0.0,0.0,0.0,0
185,1,9,0.0,12.0,0.0,0.0,1
186,1,28,0.0,12.0,0.0,0.0,1
187,1,93,0.0,12.0,0.0,0.0,1
188,1,28,0.0,20.0,0.07,0.0,1
189,1,28,0.0,25.0,0.0,0.0,0
190,1,28,0.0,28.0,0.0,0.0,0
191,1,9,0.0,20.0,0.01,0.0,0
192,1,28,0.0,20.0,0.01,0.0,0
193,1,9,0.0,22.0,0.02,0.0,0
194,1,28,0.0,22.0,0.02,0.0,0
195,1,93,0.0,22.0,0.02,0.0,0
196,1,28,0.0,23.0,0.0,0.0,0
