,units
0,29
1,2
2,1
3,5
4,1
5,15
6,9
7,20
8,3
9,16
10,1
11,2
12,1
13,22
14,4
15,1
16,1
17,1
18,25
19,26
20,1
21,4
22,3
23,32
24,2
25,4
26,3
27,29
28,3
29,1
30,5
31,48
32,3
33,1
34,40
35,1
36,1
37,2
38,31
39,6
40,1
41,40
42,21
43,1
44,35
45,1
46,1
47,3
48,38
49,4
50,2
51,9
52,26
53,3
54,1
55,17
56,5
57,2
58,8
59,4
60,1
61,2
62,3
63,3
64,3
65,2
66,1
67,31
68,3
69,3
70,33
71,2
72,4
73,1
74,4
75,1
76,1
77,4
78,5
79,39
80,4
81,3
82,3
83,1
84,5
85,2
86,3
87,4
88,47
89,2
90,31
91,3
92,2
93,43
94,3
95,2
96,5
97,42
98,2
99,17
100,4
101,6
102,50
103,4
104,5
105,21
106,6
107,1
108,5
109,3
110,4
111,2
112,5
113,31
114,6
115,1
116,43
117,10
118,27
119,5
120,1
121,28
122,6
123,36
124,9
125,6
126,14
127,8
128,24
129,3
130,9
131,47
132,4
133,19
134,7
135,15
136,4
137,30
138,5
139,5
140,4
141,15
142,3
143,1
144,4
145,3
146,45
147,13
148,4
149,4
150,19
151,6
152,4
153,4
154,33
155,9
156,20
157,4
158,3
159,3
160,41
161,3
162,5
163,15
164,3
165,29
166,1
167,21
168,2
169,16
170,6
171,6
172,29
173,6
174,1
175,45
176,5
177,2
178,14
179,7
180,2
181,5
182,2
183,4
184,2
185,22
186,10
187,5
188,10
189,4
190,5
191,24
192,3
193,19
194,6
195,1
196,4
197,27
198,1
199,2
200,11
201,34
202,3
203,21
204,6
205,17
206,4
207,18
208,7
209,2
210,23
211,3
212,1
213,22
214,5
215,6
216,31
217,4
218,43
219,6
220,14
221,8
222,2
223,14
224,4
225,26
226,2
227,5
228,45
229,3
230,7
231,10
232,27
233,2
234,11
235,3
236,9
237,20
238,3
239,17
240,2
241,20
242,4
243,5
244,19
245,9
246,6
247,31
248,4
249,1
250,8
251,3
252,1
253,9
254,5
255,4
256,8
257,44
258,5
259,1
260,38
261,6
262,3
263,24
264,7
265,3
266,2
267,2
268,3
269,4
270,2
271,42
272,2
273,32
274,4
275,3
276,43
277,3
278,2
279,17
280,1
281,1
282,25
283,3
284,1
285,44
286,6
287,1
288,5
289,6
290,49
291,3
292,26
293,29
294,2
295,4
296,1
297,3
298,17
299,5
300,6
301,39
302,6
303,1
304,25
305,2
306,4
307,5
308,4
309,27
310,2
311,6
312,5
313,3
314,7
315,7
316,33
317,7
318,19
319,44
320,2
321,28
322,4
323,2
324,6
325,7
326,15
327,4
328,19
329,5
330,7
331,21
332,6
333,26
334,2
335,25
336,3
337,5
338,24
339,4
340,7
341,36
342,3
343,2
344,25
345,5
346,4
347,32
348,3
349,5
350,3
351,2
352,42
353,2
354,34
355,8
356,4
357,19
358,2
359,5
360,3
361,5
362,28
363,2
364,1
365,26
366,3
367,2
368,4
369,38
370,5
371,15
372,3
373,5
374,4
375,2
376,3
377,2
378,44
379,3
380,3
381,4
382,10
383,36
384,4
385,24
386,3
387,2
388,45
389,4
390,5
391,1
392,9
393,5
394,7
395,1
396,3
397,1
398,1
399,23
400,5
401,8
402,14
403,4
404,26
405,2
406,37
407,3
408,1
409,2
410,3
411,1
412,1
413,5
414,1
415,3
416,2
417,9
418,8
419,21
420,2
421,4
422,24
423,5
424,18
425,3
426,6
427,9
428,2
429,3
430,20
431,6
432,1
433,2
434,30
435,4
436,1
437,7
438,5
439,5
440,17
441,3
442,4
443,17
444,2
445,2
446,33
447,6
448,3
449,18
450,1
451,24
452,5
453,3
454,1
455,30
456,4
457,6
458,2
459,32
460,4
461,1
462,1
463,41
464,4
465,4
466,5
467,43
468,6
469,7
470,2
471,40
472,2
473,1
474,28
475,7
476,6
477,2
478,10
479,24
480,5
481,3
482,1
483,23
484,4
485,4
486,2
487,1
488,35
489,2
490,8
491,2
492,1
493,2
494,5
495,48
496,7
497,1
498,38
499,10
500,3
501,4
502,28
503,5
504,1
505,6
506,4
507,25
508,3
509,29
510,3
511,1
512,18
513,4
514,4
515,2
516,5
517,2
518,5
519,1
520,3
521,26
522,9
523,1
524,14
525,4
526,2
527,7
528,21
529,4
530,1
531,19
532,1
533,3
534,30
535,4
536,3
537,2
538,3
539,24
540,5
541,6
542,2
543,3
544,15
545,5
546,35
547,9
548,2
549,4
550,3
551,1
552,2
553,7
554,8
555,3
556,39
557,22
558,3
559,3
560,14
561,2
562,2
563,29
564,6
565,6
566,46
567,4
568,3
569,6
570,3
571,36
572,5
573,40
574,4
575,44
576,3
577,3
578,27
579,4
580,4
581,39
582,2
583,3
584,1
585,26
586,4
587,5
588,14
589,1
590,3
591,32
592,1
593,1
594,5
595,43
596,3
597,1
598,4
599,41
600,5
601,1
602,38
603,2
604,38
605,1
606,1
607,28
608,3
609,14
610,5
611,25
612,4
613,5
614,35
615,3
616,4
617,4
618,2
619,25
620,1
621,6
622,40
623,2
624,3
625,3
626,3
627,3
628,3
629,2
630,35
631,3
632,2
633,4
634,37
635,4
636,2
637,3
638,45
639,5
640,2
641,2
642,47
643,3
644,1
645,1
646,14
647,5
648,14
649,8
650,3
651,2
652,3
653,2
654,39
655,1
656,1
657,4
658,29
659,6
660,3
661,17
662,2
663,6
664,3
665,4
666,29
667,2
668,1
669,37
670,1
671,3
672,33
673,3
674,4
675,30
676,6
677,1
678,1
679,3
680,6
681,3
682,1
683,25
684,1
685,2
686,16
687,2
688,2
689,27
690,2
691,2
692,19
693,5
694,3
695,6
696,24
697,1
698,2
699,7
700,1
701,18
702,5
703,5
704,6
705,1
706,1
707,1
708,3
709,18
710,4
711,1
712,1
713,2
714,3
715,2
716,1
717,9
718,1
719,1
720,2
721,6
722,31
723,1
724,1
725,5
726,17
727,5
728,38
729,5
730,4
731,3
732,48
733,8
734,1
735,7
736,2
737,3
738,1
739,8
740,45
741,2
742,3
743,31
744,5
745,40
746,2
747,2
748,2
749,16
750,1
751,1
752,2
753,24
754,5
755,2
756,2
757,7
758,2
759,3
760,3
761,5
762,4
763,23
764,4
765,1
766,15
767,9
768,3
769,1
770,5
771,3
772,36
773,5
774,2
775,2
776,50
777,8
778,1
779,5
780,2
781,1
782,20
783,8
784,5
785,9
786,10
787,3
788,5
789,33
790,5
791,3
792,18
793,7
794,2
795,10
796,2
797,8
798,1
799,3
800,12
801,1
802,3
803,20
804,4
805,2
806,3
807,1
808,2
809,5
810,2
811,1
812,25
813,6
814,1
815,43
816,5
817,1
818,2
819,2
820,1
821,2
822,3
823,37
824,11
825,1
826,7
827,4
828,15
829,1
830,1
831,12
832,2
833,5
834,6
835,22
836,12
837,1
838,2
839,28
840,3
841,3
842,4
843,39
844,7
845,1
846,2
847,2
848,7
849,2
850,11
851,2
852,3
853,1
854,3
855,42
856,16
857,46
858,7
859,3
860,6
861,1
862,24
863,4
864,2
865,2
866,2
867,29
868,5
869,2
870,27
871,8
872,1
873,2
874,7
875,2
876,24
877,13
878,2
879,5
880,5
881,50
882,9
883,4
884,5
885,2
886,7
887,1
