,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,codesum
0,13,2012-01-01,38.0,18.0,28.0,16.0,12.0,21.0,37.0,0.0,310.0,1113.0,0.0,0.0,24.6,30.59,2.5,16.0,6.1,2012,1,1, 
1,13,2012-01-02,50.0,16.0,33.0,4.0,17.0,28.0,32.0,0.0,453.0,1054.0,0.0,0.0,24.55,30.54,6.1,16.0,6.8,2012,1,2, 
2,13,2012-01-03,55.0,31.0,43.0,10.0,16.0,33.0,22.0,0.0,382.0,1118.0,0.0,0.0,24.4,30.23,2.9,21.0,6.3,2012,1,3, 
3,13,2012-01-04,58.0,27.0,43.0,4.0,16.0,32.0,22.0,0.0,453.0,1054.0,0.0,0.0,24.49,30.36,5.5,19.0,6.1,2012,1,4, 
4,13,2012-01-05,66.0,35.0,51.0,2.0,21.0,37.0,14.0,0.0,351.0,1147.0,0.0,0.0,24.26,30.04,4.2,21.0,5.0,2012,1,5, 
5,13,2012-01-06,45.0,25.0,35.0,16.0,22.0,31.0,30.0,0.0,310.0,1113.0,0.0,0.0,24.21,30.01,3.6,12.0,6.2,2012,1,6, 
6,13,2012-01-07,39.0,22.0,31.0,16.0,23.0,27.0,34.0,0.0,310.0,1113.0,0.0,0.16,24.19,30.07,4.6,33.0,5.9,2012,1,7,SN FG+ FZFG BR
7,13,2012-01-08,33.0,11.0,22.0,1.0,15.0,20.0,43.0,0.0,443.0,991.0,0.0,0.0,24.32,30.29,3.8,18.0,4.6,2012,1,8, 
8,13,2012-01-09,47.0,17.0,32.0,11.0,19.0,27.0,33.0,0.0,435.0,996.0,0.0,0.0,24.37,30.31,3.4,18.0,3.9,2012,1,9, 
9,13,2012-01-10,56.0,28.0,42.0,1.0,24.0,33.0,23.0,0.0,313.0,1103.0,0.0,0.0,24.13,29.96,4.1,16.0,4.5,2012,1,10, 
10,13,2012-01-11,41.0,3.0,16.0,14.0,12.0,16.0,49.0,0.0,380.0,1059.0,0.0,0.01,24.24,30.15,5.3,4.0,8.8,2012,1,11,SN FZFG BR
11,13,2012-01-12,40.0,1.0,20.0,14.0,3.0,18.0,45.0,0.0,380.0,1059.0,0.0,0.0,24.24,30.23,3.2,25.0,6.5,2012,1,12, 
12,13,2012-01-13,44.0,19.0,32.0,6.0,7.0,25.0,33.0,0.0,350.0,1078.0,0.2,0.0,24.23,30.11,7.4,26.0,8.6,2012,1,13, 
13,13,2012-01-14,53.0,20.0,37.0,2.0,12.0,30.0,28.0,0.0,314.0,1110.0,0.0,0.0,24.24,30.08,8.0,20.0,9.4,2012,1,14, 
14,13,2012-01-15,54.0,33.0,44.0,1.0,12.0,33.0,21.0,0.0,313.0,1103.0,0.0,0.0,24.01,29.75,11.1,22.0,12.1,2012,1,15, 
15,13,2012-01-16,41.0,16.0,29.0,16.0,17.0,24.0,36.0,0.0,310.0,1113.0,0.0,0.02,23.98,29.76,1.5,32.0,7.1,2012,1,16,SN BR
16,13,2012-01-17,27.0,5.0,16.0,14.0,7.0,14.0,49.0,0.0,380.0,1059.0,0.0,0.0,24.23,30.22,7.2,13.0,8.0,2012,1,17,BR
17,13,2012-01-18,45.0,14.0,29.0,6.0,14.0,28.0,36.0,0.0,350.0,1078.0,0.2,0.0,24.05,29.9,4.7,19.0,10.0,2012,1,18, 
18,13,2012-01-19,60.0,33.0,47.0,1.0,25.0,38.0,18.0,0.0,313.0,1103.0,0.0,0.0,23.95,29.66,2.2,13.0,7.5,2012,1,19, 
19,13,2012-01-20,53.0,34.0,44.0,1.0,23.0,35.0,21.0,0.0,313.0,1103.0,0.0,0.0,24.06,29.76,2.3,29.0,9.1,2012,1,20, 
20,13,2012-01-21,64.0,34.0,49.0,13.0,23.0,37.0,16.0,0.0,401.0,984.0,0.0,0.33,23.75,29.44,13.9,20.0,16.5,2012,1,21,SN
21,13,2012-01-22,45.0,26.0,36.0,2.0,12.0,29.0,29.0,0.0,403.0,983.0,0.0,0.0,23.93,29.6,10.5,31.0,14.6,2012,1,22, 
22,13,2012-01-23,48.0,25.0,37.0,6.0,14.0,28.0,28.0,0.0,350.0,1078.0,0.2,0.0,24.05,29.85,6.8,15.0,8.2,2012,1,23, 
23,13,2012-01-24,35.0,22.0,29.0,16.0,23.0,28.0,36.0,0.0,310.0,1113.0,0.0,0.0,24.24,30.09,2.5,33.0,4.6,2012,1,24,SN BR
24,13,2012-01-25,61.0,21.0,41.0,2.0,16.0,32.0,24.0,0.0,403.0,983.0,0.0,0.0,24.24,30.08,8.2,28.0,12.5,2012,1,25, 
25,13,2012-01-26,54.0,32.0,43.0,1.0,17.0,33.0,22.0,0.0,313.0,1103.0,0.0,0.0,24.16,29.91,1.8,23.0,8.4,2012,1,26, 
26,13,2012-01-27,43.0,18.0,31.0,16.0,17.0,25.0,34.0,0.0,310.0,1113.0,0.0,0.0,24.29,30.14,3.3,36.0,8.6,2012,1,27,SN BR
27,13,2012-01-28,45.0,15.0,30.0,16.0,5.0,22.0,35.0,0.0,310.0,1113.0,0.0,0.0,24.36,30.32,2.6,19.0,5.7,2012,1,28, 
28,13,2012-01-29,53.0,26.0,40.0,10.0,15.0,32.0,25.0,0.0,382.0,1118.0,0.0,0.0,24.31,30.16,7.0,25.0,8.9,2012,1,29, 
29,13,2012-01-30,59.0,31.0,45.0,1.0,15.0,33.0,20.0,0.0,313.0,1103.0,0.0,0.0,24.1,29.85,5.4,19.0,7.9,2012,1,30, 
30,13,2012-01-31,51.0,25.0,38.0,16.0,15.0,30.0,27.0,0.0,310.0,1113.0,0.0,0.0,24.21,30.0,3.1,16.0,5.4,2012,1,31, 
31,13,2012-02-01,52.0,25.0,39.0,2.0,11.0,28.0,26.0,0.0,314.0,1110.0,0.0,0.0,24.27,30.12,5.9,17.0,7.5,2012,2,1, 
32,13,2012-02-02,42.0,29.0,36.0,2.0,17.0,28.0,29.0,0.0,403.0,983.0,0.0,0.04,24.16,30.0,5.8,34.0,9.5,2012,2,2,SN BR
33,13,2012-02-03,30.0,24.0,27.0,3.0,24.0,25.0,38.0,0.0,440.0,981.0,8.0,1.33,24.39,30.33,15.8,35.0,15.9,2012,2,3,SN FZFG BR BLSN
34,13,2012-02-04,30.0,11.0,21.0,16.0,18.0,21.0,44.0,0.0,310.0,1113.0,0.0,0.01,24.51,30.54,1.3,35.0,5.1,2012,2,4,SN BR
35,13,2012-02-05,35.0,5.0,20.0,11.0,11.0,16.0,45.0,0.0,435.0,996.0,0.0,0.0,24.39,30.45,2.5,17.0,4.1,2012,2,5, 
36,13,2012-02-06,33.0,11.0,22.0,16.0,14.0,21.0,43.0,0.0,310.0,1113.0,0.0,0.0,24.3,30.27,3.8,33.0,6.2,2012,2,6,SN BR
37,13,2012-02-07,24.0,12.0,18.0,16.0,15.0,18.0,47.0,0.0,310.0,1113.0,0.0,0.01,24.43,30.45,1.5,6.0,3.5,2012,2,7,SN BR
38,13,2012-02-08,43.0,9.0,26.0,11.0,15.0,21.0,39.0,0.0,435.0,996.0,0.0,0.0,24.29,30.28,0.6,24.0,3.9,2012,2,8, 
39,13,2012-02-09,41.0,20.0,31.0,16.0,18.0,26.0,34.0,0.0,310.0,1113.0,0.0,0.0,24.29,30.21,2.6,15.0,5.6,2012,2,9, 
40,13,2012-02-10,40.0,15.0,28.0,16.0,17.0,23.0,37.0,0.0,310.0,1113.0,0.0,0.0,24.31,30.24,1.4,11.0,6.3,2012,2,10,SN BR
41,13,2012-02-11,20.0,9.0,15.0,14.0,10.0,13.0,50.0,0.0,380.0,1059.0,0.0,0.0,24.37,30.41,3.3,33.0,4.2,2012,2,11,SN BR
42,13,2012-02-12,31.0,8.0,20.0,16.0,13.0,18.0,45.0,0.0,310.0,1113.0,0.0,0.0,23.98,29.95,1.4,35.0,3.4,2012,2,12,BR
43,13,2012-02-13,38.0,24.0,31.0,6.0,24.0,29.0,34.0,0.0,350.0,1078.0,0.2,0.0,23.95,29.77,3.0,13.0,5.0,2012,2,13, 
44,13,2012-02-14,47.0,19.0,33.0,6.0,19.0,27.0,32.0,0.0,350.0,1078.0,0.2,0.0,23.95,29.77,1.8,21.0,5.3,2012,2,14, 
45,13,2012-02-15,33.0,17.0,25.0,16.0,19.0,24.0,40.0,0.0,310.0,1113.0,0.0,0.0,24.17,30.05,2.8,14.0,4.8,2012,2,15,BR
46,13,2012-02-16,44.0,16.0,30.0,16.0,17.0,25.0,35.0,0.0,310.0,1113.0,0.0,0.0,24.27,30.21,4.0,16.0,5.8,2012,2,16, 
47,13,2012-02-17,43.0,16.0,30.0,16.0,13.0,24.0,35.0,0.0,310.0,1113.0,0.0,0.0,24.26,30.15,2.0,12.0,6.1,2012,2,17, 
48,13,2012-02-18,40.0,14.0,27.0,6.0,17.0,25.0,38.0,0.0,350.0,1078.0,0.2,0.0,24.14,30.06,6.5,15.0,6.9,2012,2,18, 
49,13,2012-02-19,48.0,27.0,38.0,1.0,17.0,28.0,27.0,0.0,313.0,1103.0,0.0,0.0,23.89,29.69,2.7,24.0,7.6,2012,2,19, 
