,date,station_nbr,store_nbr,item_nbr,units,depart,codesum
0,2012-01-01,1,1,9,29,M,RA FZFG BR
1,2012-01-01,1,1,28,2,M,RA FZFG BR
2,2012-01-01,1,1,51,1,M,RA FZFG BR
3,2012-01-01,2,16,16,25,16,RA
4,2012-01-01,2,16,25,187,16,RA
5,2012-01-01,3,21,5,58, 9, 
6,2012-01-01,3,21,44,129, 9, 
7,2012-01-01,3,29,8,14, 9, 
8,2012-01-01,3,29,41,37, 9, 
9,2012-01-01,3,29,45,98, 9, 
10,2012-01-01,3,33,9,169, 9, 
11,2012-01-01,3,33,44,354, 9, 
12,2012-01-01,3,33,85,1, 9, 
13,2012-01-01,3,33,92,1, 9, 
14,2012-01-01,4,8,5,38, 4, 
15,2012-01-01,4,8,23,4, 4, 
16,2012-01-01,6,7,5,137, 0, 
17,2012-01-01,6,7,7,2, 0, 
18,2012-01-01,6,7,23,16, 0, 
19,2012-01-01,6,13,5,77, 0, 
20,2012-01-01,6,13,36,121, 0, 
21,2012-01-01,6,13,46,1, 0, 
22,2012-01-01,7,3,5,214,M, 
23,2012-01-01,7,3,45,112,M, 
24,2012-01-01,7,20,5,165,M, 
25,2012-01-01,7,20,41,37,M, 
26,2012-01-01,7,20,74,5,M, 
27,2012-01-01,7,28,5,65,M, 
28,2012-01-01,7,28,45,68,M, 
29,2012-01-01,8,39,9,2,M,RA BR
30,2012-01-01,8,39,36,6,M,RA BR
31,2012-01-01,9,4,9,61,M,UP
32,2012-01-01,9,4,27,21,M,UP
33,2012-01-01,9,24,6,42,M,UP
34,2012-01-01,9,24,43,72,M,UP
35,2012-01-01,9,24,60,1,M,UP
36,2012-01-01,10,11,9,74,M,FG+ FG BR
37,2012-01-01,10,11,68,48,M,FG+ FG BR
38,2012-01-01,10,22,9,37,M,FG+ FG BR
39,2012-01-01,10,22,68,47,M,FG+ FG BR
40,2012-01-01,10,22,93,3,M,FG+ FG BR
41,2012-01-01,10,27,9,26,M,FG+ FG BR
42,2012-01-01,10,27,68,42,M,FG+ FG BR
43,2012-01-01,10,27,80,1,M,FG+ FG BR
44,2012-01-01,11,12,16,29, 7,FG+ FG BR
45,2012-01-01,11,12,37,28, 7,FG+ FG BR
46,2012-01-01,11,12,79,2, 7,FG+ FG BR
47,2012-01-01,11,12,93,1, 7,FG+ FG BR
48,2012-01-01,11,43,16,71, 7,FG+ FG BR
49,2012-01-01,11,43,37,16, 7,FG+ FG BR
50,2012-01-01,12,5,16,24,M,FG+ FG BR
51,2012-01-01,12,5,32,1,M,FG+ FG BR
52,2012-01-01,12,5,37,16,M,FG+ FG BR
53,2012-01-01,12,10,5,98,M,FG+ FG BR
54,2012-01-01,12,10,37,32,M,FG+ FG BR
55,2012-01-01,12,10,93,3,M,FG+ FG BR
56,2012-01-01,12,41,16,42,M,FG+ FG BR
57,2012-01-01,12,41,68,95,M,FG+ FG BR
58,2012-01-01,12,44,5,26,M,FG+ FG BR
59,2012-01-01,12,44,68,37,M,FG+ FG BR
60,2012-01-01,13,15,5,64,M, 
61,2012-01-01,13,15,17,2,M, 
62,2012-01-01,13,15,45,108,M, 
63,2012-01-01,13,15,49,2,M, 
64,2012-01-01,13,25,9,126,M, 
65,2012-01-01,13,25,45,90,M, 
66,2012-01-01,13,25,81,11,M, 
67,2012-01-01,13,32,9,65,M, 
68,2012-01-01,13,32,45,46,M, 
69,2012-01-01,13,32,58,8,M, 
70,2012-01-01,13,37,5,77,M, 
71,2012-01-01,13,37,45,53,M, 
72,2012-01-01,13,40,5,76,M, 
73,2012-01-01,13,40,45,48,M, 
74,2012-01-01,13,40,51,1,M, 
75,2012-01-01,14,2,5,191, 5, 
76,2012-01-01,14,2,44,215, 5, 
77,2012-01-01,14,6,9,44, 5, 
78,2012-01-01,14,6,45,86, 5, 
79,2012-01-01,14,38,9,195, 5, 
80,2012-01-01,14,38,45,135, 5, 
81,2012-01-01,14,42,5,154, 5, 
82,2012-01-01,14,42,45,98, 5, 
83,2012-01-01,15,19,16,21,16,RA FG+ FZFG BR
84,2012-01-01,15,19,83,10,16,RA FG+ FZFG BR
85,2012-01-01,16,14,9,8,M,RA MIFG BR
86,2012-01-01,16,14,50,2,M,RA MIFG BR
87,2012-01-01,16,14,70,2,M,RA MIFG BR
88,2012-01-01,16,45,9,7,M,RA MIFG BR
89,2012-01-01,17,9,5,131,M, 
90,2012-01-01,17,9,10,4,M, 
91,2012-01-01,17,9,45,72,M, 
92,2012-01-01,17,9,93,4,M, 
93,2012-01-01,17,18,5,18,M, 
94,2012-01-01,17,18,37,17,M, 
95,2012-01-01,17,23,5,58,M, 
96,2012-01-01,17,23,29,1,M, 
97,2012-01-01,17,23,45,35,M, 
98,2012-01-01,17,26,5,64,M, 
99,2012-01-01,17,26,45,68,M, 
100,2012-01-01,17,31,9,40,M, 
101,2012-01-01,17,31,45,83,M, 
102,2012-01-01,17,34,9,36,M, 
103,2012-01-01,17,34,31,1,M, 
104,2012-01-01,17,34,45,163,M, 
105,2012-01-01,17,34,52,1,M, 
106,2012-01-01,18,36,9,41, 4, 
107,2012-01-01,18,36,44,94, 4, 
108,2012-01-01,19,30,16,16,10,RA SN BR
109,2012-01-01,19,30,44,120,10,RA SN BR
110,2012-01-01,19,30,49,1,10,RA SN BR
111,2012-01-01,19,30,51,6,10,RA SN BR
112,2012-01-01,20,17,9,179,M, 
113,2012-01-01,20,17,37,85,M, 
114,2012-01-01,20,17,48,147,M, 
115,2012-01-02,1,1,9,60,M, 
116,2012-01-02,1,1,28,5,M, 
117,2012-01-02,1,1,51,1,M, 
118,2012-01-02,2,16,16,42,12, 
119,2012-01-02,2,16,25,102,12, 
120,2012-01-02,2,16,39,1,12, 
121,2012-01-02,2,16,50,4,12, 
122,2012-01-02,3,21,5,137,-1, 
123,2012-01-02,3,21,44,60,-1, 
124,2012-01-02,3,29,8,24,-1, 
125,2012-01-02,3,29,41,13,-1, 
126,2012-01-02,3,29,45,110,-1, 
127,2012-01-02,3,33,9,195,-1, 
128,2012-01-02,3,33,44,50,-1, 
129,2012-01-02,4,8,5,73,-2, 
130,2012-01-02,4,8,23,15,-2, 
131,2012-01-02,4,8,59,1,-2, 
132,2012-01-02,6,7,5,166,-4, 
133,2012-01-02,6,7,7,1,-4, 
134,2012-01-02,6,7,23,22,-4, 
135,2012-01-02,6,7,93,2,-4, 
136,2012-01-02,6,13,5,99,-4, 
137,2012-01-02,6,13,36,120,-4, 
138,2012-01-02,6,13,46,3,-4, 
139,2012-01-02,7,3,5,223,M, 
140,2012-01-02,7,3,45,114,M, 
141,2012-01-02,7,20,5,143,M, 
142,2012-01-02,7,20,41,51,M, 
143,2012-01-02,7,20,74,4,M, 
144,2012-01-02,7,28,5,69,M, 
145,2012-01-02,7,28,45,95,M, 
146,2012-01-02,8,39,9,13,M, 
147,2012-01-02,8,39,36,13,M, 
148,2012-01-02,9,4,9,49,M,SN UP
149,2012-01-02,9,4,27,9,M,SN UP
150,2012-01-02,9,24,6,148,M,SN UP
151,2012-01-02,9,24,43,92,M,SN UP
152,2012-01-02,9,24,60,3,M,SN UP
153,2012-01-02,10,11,9,49,M, 
154,2012-01-02,10,11,68,71,M, 
155,2012-01-02,10,22,9,112,M, 
156,2012-01-02,10,22,68,57,M, 
157,2012-01-02,10,27,9,53,M, 
158,2012-01-02,10,27,21,2,M, 
159,2012-01-02,10,27,68,41,M, 
160,2012-01-02,11,12,16,53,-1, 
161,2012-01-02,11,12,37,41,-1, 
162,2012-01-02,11,43,16,92,-1, 
163,2012-01-02,11,43,37,41,-1, 
164,2012-01-02,11,43,73,2,-1, 
165,2012-01-02,12,5,16,36,M, 
166,2012-01-02,12,5,20,1,M, 
167,2012-01-02,12,5,37,29,M, 
168,2012-01-02,12,10,5,84,M, 
169,2012-01-02,12,10,21,3,M, 
170,2012-01-02,12,10,37,33,M, 
171,2012-01-02,12,41,16,57,M, 
172,2012-01-02,12,41,68,150,M, 
173,2012-01-02,12,44,5,95,M, 
174,2012-01-02,12,44,68,93,M, 
175,2012-01-02,13,15,5,265,M, 
176,2012-01-02,13,15,17,5,M, 
177,2012-01-02,13,15,45,160,M, 
178,2012-01-02,13,25,9,170,M, 
179,2012-01-02,13,25,12,1,M, 
180,2012-01-02,13,25,45,133,M, 
181,2012-01-02,13,25,81,13,M, 
182,2012-01-02,13,32,9,115,M, 
183,2012-01-02,13,32,45,72,M, 
184,2012-01-02,13,32,58,1,M, 
185,2012-01-02,13,32,93,2,M, 
186,2012-01-02,13,37,5,102,M, 
187,2012-01-02,13,37,45,84,M, 
188,2012-01-02,13,37,53,3,M, 
189,2012-01-02,13,40,5,183,M, 
190,2012-01-02,13,40,45,116,M, 
191,2012-01-02,14,2,5,147,-1, 
192,2012-01-02,14,2,11,2,-1, 
193,2012-01-02,14,2,44,153,-1, 
194,2012-01-02,14,6,9,147,-1, 
195,2012-01-02,14,6,14,1,-1, 
196,2012-01-02,14,6,45,85,-1, 
197,2012-01-02,14,38,9,145,-1, 
198,2012-01-02,14,38,45,137,-1, 
199,2012-01-02,14,42,5,61,-1, 
200,2012-01-02,14,42,45,89,-1, 
201,2012-01-02,14,42,82,2,-1, 
202,2012-01-02,15,19,16,30,15,BR
203,2012-01-02,15,19,39,1,15,BR
204,2012-01-02,15,19,69,4,15,BR
205,2012-01-02,15,19,83,11,15,BR
206,2012-01-02,15,19,93,2,15,BR
207,2012-01-02,16,14,9,50,M,RA
208,2012-01-02,16,14,50,4,M,RA
209,2012-01-02,16,45,9,51,M,RA
210,2012-01-02,16,45,50,2,M,RA
211,2012-01-02,17,9,5,67,M, 
212,2012-01-02,17,9,10,2,M, 
213,2012-01-02,17,9,45,127,M, 
214,2012-01-02,17,18,5,40,M, 
215,2012-01-02,17,18,37,16,M, 
216,2012-01-02,17,23,5,47,M, 
217,2012-01-02,17,23,29,2,M, 
218,2012-01-02,17,23,45,43,M, 
219,2012-01-02,17,26,5,46,M, 
220,2012-01-02,17,26,45,56,M, 
221,2012-01-02,17,31,9,29,M, 
222,2012-01-02,17,31,45,70,M, 
223,2012-01-02,17,34,9,88,M, 
224,2012-01-02,17,34,45,134,M, 
225,2012-01-02,17,34,52,3,M, 
226,2012-01-02,18,36,9,34,-2, 
227,2012-01-02,18,36,30,1,-2, 
228,2012-01-02,18,36,44,115,-2, 
229,2012-01-02,19,30,16,76,-2,SN
230,2012-01-02,19,30,44,277,-2,SN
231,2012-01-02,19,30,49,2,-2,SN
232,2012-01-02,19,30,51,2,-2,SN
233,2012-01-02,20,17,9,254,M, 
234,2012-01-02,20,17,37,68,M, 
235,2012-01-02,20,17,48,123,M, 
236,2012-01-02,20,17,71,4,M, 
237,2012-01-03,1,1,9,15,M, 
238,2012-01-03,1,1,28,9,M, 
239,2012-01-03,2,16,16,20,-6, 
240,2012-01-03,2,16,25,155,-6, 
241,2012-01-03,2,16,39,1,-6, 
242,2012-01-03,2,16,50,1,-6, 
243,2012-01-03,3,21,5,50, 2, 
244,2012-01-03,3,21,44,72, 2, 
245,2012-01-03,3,29,8,53, 2, 
246,2012-01-03,3,29,41,16, 2, 
247,2012-01-03,3,29,45,92, 2, 
248,2012-01-03,3,33,9,182, 2, 
249,2012-01-03,3,33,44,178, 2, 
250,2012-01-03,3,33,92,1, 2, 
251,2012-01-03,4,8,5,87,-4, 
252,2012-01-03,4,8,23,5,-4, 
253,2012-01-03,6,7,5,164,-5, 
254,2012-01-03,6,7,7,3,-5, 
255,2012-01-03,6,7,23,23,-5, 
256,2012-01-03,6,13,5,196,-5, 
257,2012-01-03,6,13,36,87,-5, 
258,2012-01-03,6,13,46,10,-5, 
259,2012-01-03,7,3,5,61,M, 
260,2012-01-03,7,3,45,75,M, 
261,2012-01-03,7,20,5,117,M, 
262,2012-01-03,7,20,41,30,M, 
263,2012-01-03,7,20,74,6,M, 
264,2012-01-03,7,28,5,113,M, 
265,2012-01-03,7,28,45,29,M, 
266,2012-01-03,8,39,9,2,M, 
267,2012-01-03,8,39,36,13,M, 
268,2012-01-03,9,4,9,29,M, 
269,2012-01-03,9,4,27,5,M, 
270,2012-01-03,9,4,90,1,M, 
271,2012-01-03,9,24,6,105,M, 
272,2012-01-03,9,24,43,92,M, 
273,2012-01-03,9,24,60,1,M, 
274,2012-01-03,10,11,9,42,M, 
275,2012-01-03,10,11,68,52,M, 
276,2012-01-03,10,22,9,69,M, 
277,2012-01-03,10,22,68,65,M, 
278,2012-01-03,10,27,9,36,M, 
279,2012-01-03,10,27,21,1,M, 
280,2012-01-03,10,27,68,57,M, 
281,2012-01-03,10,27,80,5,M, 
282,2012-01-03,11,12,16,36,-18, 
283,2012-01-03,11,12,37,25,-18, 
284,2012-01-03,11,43,16,89,-18, 
285,2012-01-03,11,43,37,30,-18, 
286,2012-01-03,12,5,16,33,M, 
287,2012-01-03,12,5,20,3,M, 
288,2012-01-03,12,5,37,18,M, 
289,2012-01-03,12,10,5,162,M, 
290,2012-01-03,12,10,21,3,M, 
291,2012-01-03,12,10,37,26,M, 
292,2012-01-03,12,41,16,51,M, 
293,2012-01-03,12,41,68,122,M, 
294,2012-01-03,12,44,5,40,M, 
295,2012-01-03,12,44,68,97,M, 
296,2012-01-03,13,15,5,174,M, 
297,2012-01-03,13,15,17,1,M, 
298,2012-01-03,13,15,45,128,M, 
299,2012-01-03,13,15,49,1,M, 
300,2012-01-03,13,25,9,95,M, 
301,2012-01-03,13,25,45,119,M, 
302,2012-01-03,13,25,81,14,M, 
303,2012-01-03,13,32,9,69,M, 
304,2012-01-03,13,32,45,46,M, 
305,2012-01-03,13,32,58,3,M, 
306,2012-01-03,13,37,5,86,M, 
307,2012-01-03,13,37,45,68,M, 
308,2012-01-03,13,37,53,1,M, 
309,2012-01-03,13,40,5,58,M, 
310,2012-01-03,13,40,45,67,M, 
311,2012-01-03,14,2,5,104, 5, 
312,2012-01-03,14,2,44,109, 5, 
313,2012-01-03,14,6,9,59, 5, 
314,2012-01-03,14,6,45,26, 5, 
315,2012-01-03,14,38,9,118, 5, 
316,2012-01-03,14,38,45,79, 5, 
317,2012-01-03,14,38,52,6, 5, 
318,2012-01-03,14,42,5,72, 5, 
319,2012-01-03,14,42,45,81, 5, 
320,2012-01-03,14,42,82,1, 5, 
321,2012-01-03,15,19,16,35,-3, 
322,2012-01-03,15,19,83,8,-3, 
323,2012-01-03,16,14,9,15,M, 
324,2012-01-03,16,14,25,18,M, 
325,2012-01-03,16,14,50,1,M, 
326,2012-01-03,16,14,70,1,M, 
327,2012-01-03,16,14,93,3,M, 
328,2012-01-03,16,45,9,18,M, 
329,2012-01-03,17,9,5,158,M, 
330,2012-01-03,17,9,10,2,M, 
331,2012-01-03,17,9,45,70,M, 
332,2012-01-03,17,18,5,12,M, 
333,2012-01-03,17,18,37,8,M, 
334,2012-01-03,17,23,5,46,M, 
335,2012-01-03,17,23,29,1,M, 
336,2012-01-03,17,23,45,39,M, 
337,2012-01-03,17,26,5,94,M, 
338,2012-01-03,17,26,45,71,M, 
339,2012-01-03,17,31,9,42,M, 
340,2012-01-03,17,31,45,71,M, 
341,2012-01-03,17,34,9,36,M, 
342,2012-01-03,17,34,31,1,M, 
343,2012-01-03,17,34,45,104,M, 
344,2012-01-03,17,34,52,3,M, 
345,2012-01-03,18,36,9,49, 0, 
346,2012-01-03,18,36,30,1, 0, 
347,2012-01-03,18,36,44,127, 0, 
348,2012-01-03,19,30,16,63,-3, 
349,2012-01-03,19,30,44,292,-3, 
350,2012-01-03,20,17,9,149,M, 
351,2012-01-03,20,17,37,97,M, 
352,2012-01-03,20,17,48,223,M, 
353,2012-01-03,20,17,71,1,M, 
354,2012-01-04,1,1,9,20,M, 
355,2012-01-04,1,1,28,3,M, 
356,2012-01-04,2,16,16,24,-11, 
357,2012-01-04,2,16,25,174,-11, 
358,2012-01-04,3,21,5,38,11, 
359,2012-01-04,3,21,44,46,11, 
360,2012-01-04,3,29,8,31,11, 
361,2012-01-04,3,29,41,10,11, 
362,2012-01-04,3,29,45,87,11, 
363,2012-01-04,3,29,56,3,11, 
364,2012-01-04,3,33,9,70,11, 
