,station_nbr,date,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,codesum,sunrise,sunset
0,12,2012-01-01,72.0,48.0,60.0,54.0,57.0,5.0,0.0,0.0,0.0,30.15,30.19,4.4,25.0,4.8,2012,1,1,FG+ FG BR,-,-
1,12,2012-01-02,65.0,47.0,56.0,33.0,46.0,9.0,0.0,0.0,0.0,30.09,30.14,11.7,30.0,12.7,2012,1,2, ,-,-
2,12,2012-01-03,47.0,34.0,41.0,12.0,30.0,24.0,0.0,0.0,0.0,30.25,30.33,12.9,32.0,13.2,2012,1,3, ,-,-
3,12,2012-01-04,53.0,31.0,42.0,17.0,32.0,23.0,0.0,0.0,0.0,30.34,30.38,2.7,32.0,4.2,2012,1,4, ,-,-
4,12,2012-01-05,68.0,32.0,50.0,38.0,44.0,15.0,0.0,0.0,0.0,30.18,30.22,5.0,28.0,5.5,2012,1,5, ,-,-
5,12,2012-01-06,70.0,38.0,54.0,43.0,48.0,11.0,0.0,0.0,0.0,30.12,30.17,2.4,24.0,2.6,2012,1,6,FG+ BR,-,-
6,12,2012-01-07,71.0,43.0,57.0,51.0,54.0,8.0,0.0,0.0,0.01,30.09,30.15,1.9,25.0,2.4,2012,1,7,FG+ FG BR,-,-
7,12,2012-01-08,74.0,45.0,60.0,51.0,54.0,5.0,0.0,0.0,0.0,30.16,30.22,1.1,14.0,1.5,2012,1,8,FG BR,-,-
8,12,2012-01-09,75.0,49.0,62.0,53.0,56.0,3.0,0.0,0.0,0.0,30.13,30.17,2.1,22.0,2.3,2012,1,9,FG+ BR,-,-
9,12,2012-01-10,75.0,48.0,62.0,55.0,58.0,3.0,0.0,0.0,0.0,30.02,30.05,3.4,19.0,3.8,2012,1,10,BR,-,-
10,12,2012-01-11,76.0,59.0,68.0,56.0,60.0,0.0,3.0,0.0,0.0,29.75,29.79,8.7,22.0,10.8,2012,1,11, ,-,-
11,12,2012-01-12,74.0,49.0,62.0,53.0,58.0,3.0,0.0,0.0,0.0,29.79,29.84,10.0,24.0,10.5,2012,1,12, ,-,-
12,12,2012-01-13,65.0,42.0,54.0,22.0,39.0,11.0,0.0,0.0,0.0,30.03,30.12,9.5,29.0,10.3,2012,1,13, ,-,-
13,12,2012-01-14,56.0,33.0,45.0,22.0,36.0,20.0,0.0,0.0,0.0,30.26,30.31,7.8,31.0,8.4,2012,1,14, ,-,-
14,12,2012-01-15,64.0,32.0,48.0,30.0,40.0,17.0,0.0,0.0,0.0,30.35,30.41,5.1,31.0,5.4,2012,1,15, ,-,-
15,12,2012-01-16,67.0,36.0,52.0,43.0,48.0,13.0,0.0,0.0,0.0,30.41,30.44,2.5,12.0,3.7,2012,1,16, ,-,-
16,12,2012-01-17,75.0,44.0,60.0,50.0,54.0,5.0,0.0,0.0,0.0,30.22,30.25,3.9,22.0,4.2,2012,1,17, ,-,-
