,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,codesum,sunrise,sunset
0,19,2012-01-01,38.0,25.0,32.0,10.0,26.0,30.0,33.0,0.0,0.5,0.12,29.06,29.79,14.6,29.0,15.6,2012,1,1,RA SN BR,0723,1628
1,19,2012-01-02,25.0,15.0,20.0,2.0,9.0,17.0,45.0,0.0,0.0,0.0,29.47,30.2,17.8,31.0,18.1,2012,1,2,SN,0723,1629
2,19,2012-01-03,26.0,10.0,18.0,3.0,5.0,15.0,47.0,0.0,0.0,0.0,29.43,30.26,5.5,23.0,9.2,2012,1,3, ,0723,1630
3,19,2012-01-04,34.0,24.0,29.0,8.0,17.0,25.0,36.0,0.0,0.0,0.0,29.21,30.0,7.9,27.0,9.7,2012,1,4, ,0723,1631
4,19,2012-01-05,47.0,26.0,37.0,16.0,26.0,33.0,28.0,0.0,0.0,0.0,29.02,29.83,8.4,23.0,8.5,2012,1,5, ,0723,1631
5,19,2012-01-06,51.0,38.0,45.0,24.0,29.0,38.0,20.0,0.0,0.0,0.0,28.95,29.71,7.2,27.0,7.9,2012,1,6, ,0723,1632
6,19,2012-01-07,41.0,29.0,35.0,14.0,23.0,31.0,30.0,0.0,0.0,0.0,29.32,30.03,7.4,30.0,7.7,2012,1,7, ,0722,1633
7,19,2012-01-08,41.0,19.0,30.0,9.0,21.0,28.0,35.0,0.0,0.0,0.0,29.53,30.29,4.4,23.0,4.5,2012,1,8, ,0722,1635
8,19,2012-01-09,46.0,27.0,37.0,16.0,26.0,32.0,28.0,0.0,0.0,0.0,29.23,30.03,11.7,24.0,12.1,2012,1,9, ,0722,1636
9,19,2012-01-10,50.0,25.0,38.0,17.0,28.0,34.0,27.0,0.0,0.0,0.0,29.14,29.93,4.5,21.0,4.9,2012,1,10, ,0722,1637
10,19,2012-01-11,55.0,28.0,42.0,22.0,29.0,35.0,23.0,0.0,0.0,0.0,28.85,29.64,0.7,21.0,2.5,2012,1,11,BR HZ,0721,1638
11,19,2012-01-12,36.0,20.0,28.0,8.0,25.0,29.0,37.0,0.0,6.1,0.35,28.72,29.69,13.2,34.0,14.1,2012,1,12,DZ SN BR HZ,0721,1639
12,19,2012-01-13,22.0,18.0,20.0,0.0,14.0,19.0,45.0,0.0,0.6,0.05,29.11,29.84,11.0,30.0,11.1,2012,1,13,SN,0721,1640
13,19,2012-01-14,21.0,14.0,18.0,2.0,9.0,15.0,47.0,0.0,0.3,0.01,29.38,30.12,5.4,27.0,5.7,2012,1,14,SN,0720,1641
14,19,2012-01-15,30.0,10.0,20.0,0.0,15.0,21.0,45.0,0.0,1.5,0.08,29.41,30.22,10.0,18.0,10.8,2012,1,15,SN,0720,1642
15,19,2012-01-16,41.0,29.0,35.0,15.0,28.0,32.0,30.0,0.0,0.0,0.0,29.01,29.81,3.6,22.0,8.3,2012,1,16,BR,0719,1644
16,19,2012-01-17,37.0,13.0,25.0,5.0,22.0,25.0,40.0,0.0,2.3,0.16,29.16,30.0,13.9,34.0,16.3,2012,1,17,RA SN BR HZ BLSN,0719,1645
17,19,2012-01-18,24.0,6.0,15.0,5.0,7.0,14.0,50.0,0.0,0.0,0.0,29.27,30.09,7.8,22.0,9.7,2012,1,18, ,0718,1646
18,19,2012-01-19,25.0,0.0,13.0,7.0,5.0,6.0,52.0,0.0,0.2,0.0,29.29,30.05,12.6,29.0,14.0,2012,1,19, ,0718,1647
19,19,2012-01-20,14.0,1.0,7.0,13.0,2.0,8.0,58.0,0.0,2.0,0.25,29.41,30.1,6.5,33.0,6.8,2012,1,20,SN BR,0717,1648
20,19,2012-01-21,27.0,6.0,17.0,3.0,9.0,15.0,48.0,0.0,0.0,0.0,29.43,30.23,2.1,32.0,6.6,2012,1,21,SN,0716,1650
21,19,2012-01-22,37.0,21.0,29.0,9.0,15.0,23.0,36.0,0.0,0.0,0.07,29.0,29.96,11.6,17.0,11.9,2012,1,22,DZ FZDZ BR,0716,1651
22,19,2012-01-23,42.0,29.0,36.0,15.0,28.0,32.0,29.0,0.0,0.1,0.24,28.81,29.57,11.3,25.0,14.0,2012,1,23,RA BR,0715,1652
23,19,2012-01-24,32.0,22.0,27.0,6.0,19.0,25.0,38.0,0.0,0.0,0.0,29.44,30.18,8.0,28.0,8.5,2012,1,24,BR,0714,1654
24,19,2012-01-25,35.0,22.0,29.0,8.0,24.0,28.0,36.0,0.0,0.0,0.0,29.44,30.24,3.7,18.0,4.0,2012,1,25,BR HZ,0713,1655
25,19,2012-01-26,38.0,31.0,35.0,14.0,28.0,32.0,30.0,0.0,0.0,0.0,29.02,29.81,3.7,22.0,6.2,2012,1,26,BR,0712,1656
26,19,2012-01-27,42.0,31.0,37.0,16.0,23.0,31.0,28.0,0.0,0.1,0.0,29.1,29.86,7.8,27.0,10.0,2012,1,27,SN BR HZ,0711,1657
27,19,2012-01-28,37.0,26.0,32.0,11.0,18.0,26.0,33.0,0.0,0.5,0.05,29.18,29.92,14.2,26.0,15.1,2012,1,28,SN BR,0711,1659
28,19,2012-01-29,30.0,17.0,24.0,3.0,14.0,21.0,41.0,0.0,1.7,0.07,29.33,30.1,7.9,28.0,9.2,2012,1,29,SN BR,0710,1700
29,19,2012-01-30,45.0,14.0,30.0,9.0,24.0,30.0,35.0,0.0,0.0,0.03,29.13,29.93,7.1,20.0,8.2,2012,1,30,DZ,0709,1701
30,19,2012-01-31,54.0,40.0,47.0,26.0,37.0,41.0,18.0,0.0,0.0,0.0,29.03,29.79,14.6,23.0,15.1,2012,1,31,HZ,0708,1703
31,19,2012-02-01,41.0,33.0,37.0,15.0,30.0,34.0,28.0,0.0,0.0,0.0,29.35,30.1,4.4,31.0,5.6,2012,2,1,HZ,0707,1704
32,19,2012-02-02,36.0,30.0,33.0,11.0,30.0,32.0,32.0,0.0,0.0,0.0,29.55,30.29,3.1,25.0,4.6,2012,2,2,BR,0706,1705
