,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,sunset,sunrise,codesum
0,15,2012-01-01,48.0,26.0,37.0,16.0,35.0,38.0,28.0,0.0,0.0,0.09,29.53,29.89,2.5,17.0,3.8,2012,1,1,1621,0718,RA FG+ FZFG BR
1,15,2012-01-02,43.0,29.0,36.0,15.0,24.0,32.0,29.0,0.0,0.0,0.02,29.2,29.58,7.1,24.0,8.1,2012,1,2,1622,0718,BR
2,15,2012-01-03,30.0,5.0,18.0,3.0,2.0,14.0,47.0,0.0,0.0,0.0,29.44,29.87,13.1,31.0,13.7,2012,1,3,1623,0718, 
3,15,2012-01-04,23.0,3.0,13.0,8.0,1.0,11.0,52.0,0.0,0.0,0.0,29.63,30.02,5.1,30.0,6.4,2012,1,4,1624,0718, 
4,15,2012-01-05,36.0,17.0,27.0,6.0,13.0,22.0,38.0,0.0,0.0,0.0,29.42,29.82,3.5,29.0,5.8,2012,1,5,1625,0718, 
5,15,2012-01-06,33.0,15.0,24.0,4.0,19.0,23.0,41.0,0.0,0.2,0.01,29.46,29.83,0.6,35.0,1.8,2012,1,6,1626,0718,SN
6,15,2012-01-07,44.0,22.0,33.0,13.0,25.0,29.0,32.0,0.0,0.0,0.0,29.35,29.75,0.6,29.0,0.9,2012,1,7,1627,0718, 
7,15,2012-01-08,41.0,21.0,31.0,11.0,20.0,27.0,34.0,0.0,0.0,0.0,29.67,30.11,7.4,31.0,7.9,2012,1,8,1628,0717, 
8,15,2012-01-09,35.0,15.0,25.0,5.0,13.0,21.0,40.0,0.0,0.0,0.0,29.81,30.18,1.0,16.0,2.9,2012,1,9,1629,0717, 
9,15,2012-01-10,43.0,23.0,33.0,13.0,21.0,29.0,32.0,0.0,0.0,0.0,29.44,29.84,2.8,27.0,6.3,2012,1,10,1630,0717, 
10,15,2012-01-11,34.0,21.0,28.0,8.0,18.0,25.0,37.0,0.0,0.0,0.0,29.67,30.09,1.1,36.0,3.2,2012,1,11,1631,0717,SN BR
11,15,2012-01-12,32.0,26.0,29.0,9.0,26.0,28.0,36.0,0.0,3.7,0.34,29.44,29.78,6.9,4.0,7.7,2012,1,12,1632,0716,SN FZFG BR UP
12,15,2012-01-13,36.0,26.0,31.0,11.0,25.0,28.0,34.0,0.0,0.0,0.11,29.0,29.38,5.2,25.0,6.9,2012,1,13,1634,0716,FZRA SN BR UP
13,15,2012-01-14,31.0,5.0,18.0,2.0,10.0,19.0,47.0,0.0,0.0,0.0,29.34,29.8,11.0,30.0,12.3,2012,1,14,1635,0715, 
14,15,2012-01-15,10.0,1.0,5.0,15.0,7.0,2.0,60.0,0.0,0.0,0.0,29.85,30.31,11.2,31.0,11.4,2012,1,15,1636,0715, 
15,15,2012-01-16,30.0,5.0,13.0,7.0,2.0,12.0,52.0,0.0,0.19009193054136872,0.12858085808580866,30.03,30.4,2.9,19.0,5.1,2012,1,16,1637,0715,SN
16,15,2012-01-17,39.0,27.0,33.0,13.0,31.0,33.0,32.0,0.0,1.4,0.22,29.47,29.79,3.1,16.0,3.4,2012,1,17,1638,0714,RA SN FG BR
17,15,2012-01-18,45.0,13.0,29.0,10.0,13.0,24.0,36.0,0.0,0.0,0.12858085808580866,29.31,29.79,15.0,29.0,17.0,2012,1,18,1640,0713, 
18,15,2012-01-19,27.0,3.0,15.0,4.0,9.0,15.0,50.0,0.0,1.3,0.2,29.78,30.16,1.5,14.0,3.7,2012,1,19,1641,0713,SN BR
19,15,2012-01-20,25.0,6.0,16.0,3.0,8.0,16.0,49.0,0.0,1.2,0.06,29.67,30.1,5.5,30.0,5.9,2012,1,20,1642,0712,SN FG+ FZFG BR
20,15,2012-01-21,18.0,0.0,9.0,11.0,6.0,11.0,56.0,0.0,1.2,0.13,29.84,30.26,2.6,35.0,2.9,2012,1,21,1643,0711,SN BR
21,15,2012-01-22,24.0,7.0,9.0,11.0,4.0,10.0,56.0,0.0,0.0,0.0,30.11,30.54,0.7,12.0,0.9,2012,1,22,1645,0711, 
22,15,2012-01-23,32.0,20.0,26.0,6.0,25.0,27.0,39.0,0.0,0.0,0.31,29.91,30.24,0.6,30.0,1.8,2012,1,23,1646,0710,FZRA SN BR UP
23,15,2012-01-24,49.0,31.0,40.0,20.0,32.0,35.0,25.0,0.0,0.0,0.01,29.51,29.92,3.6,28.0,3.7,2012,1,24,1647,0709,FG+ FG FZFG BR
