,station_nbr,date,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,sunset,sunrise,codesum
0,17,2012-01-01,56.0,38.0,47.0,23.0,37.0,18.0,0.0,0.0,0.0,29.83,30.5,5.4,32.0,5.8,2012,1,1,-,-, 
1,17,2012-01-02,45.0,22.0,34.0,10.0,28.0,31.0,0.0,0.0,0.0,29.96,30.66,3.7,33.0,4.8,2012,1,2,-,-, 
2,17,2012-01-03,55.0,19.0,37.0,18.0,31.0,28.0,0.0,0.0,0.0,29.61,30.36,6.9,18.0,7.0,2012,1,3,-,-, 
3,17,2012-01-04,63.0,28.0,46.0,25.0,36.0,19.0,0.0,0.0,0.09190831556503205,29.59,30.29,2.1,36.0,3.3,2012,1,4,-,-,RA
4,17,2012-01-05,68.0,26.0,47.0,26.0,38.0,18.0,0.0,0.0,0.0,29.42,30.14,4.3,20.0,4.4,2012,1,5,-,-, 
5,17,2012-01-06,69.0,34.0,52.0,34.0,43.0,13.0,0.0,0.0,0.0,29.23,29.92,3.4,19.0,7.5,2012,1,6,-,-, 
6,17,2012-01-07,60.0,40.0,50.0,25.0,39.0,15.0,0.0,0.0,0.0,29.41,30.08,9.2,2.0,9.4,2012,1,7,-,-, 
7,17,2012-01-08,53.0,38.0,46.0,27.0,38.0,19.0,0.0,0.0,0.0,29.5,30.18,7.2,1.0,7.6,2012,1,8,-,-, 
8,17,2012-01-09,55.0,32.0,44.0,26.0,36.0,21.0,0.0,0.0,0.0,29.52,30.22,4.6,1.0,5.0,2012,1,9,-,-, 
9,17,2012-01-10,52.0,35.0,44.0,28.0,37.0,21.0,0.0,0.0,0.0,29.22,29.95,2.2,1.0,2.5,2012,1,10,-,-, 
10,17,2012-01-11,62.0,24.0,43.0,27.0,35.0,22.0,0.0,0.0,0.02,29.15,29.82,5.7,33.0,5.9,2012,1,11,-,-,SN BR
11,17,2012-01-12,35.0,23.0,29.0,7.0,22.0,36.0,0.0,0.0,0.0,29.46,30.14,5.3,30.0,7.2,2012,1,12,-,-, 
12,17,2012-01-13,49.0,15.0,32.0,10.0,25.0,33.0,0.0,0.0,0.0,29.48,30.19,2.0,22.0,2.2,2012,1,13,-,-, 
13,17,2012-01-14,56.0,23.0,40.0,19.0,31.0,25.0,0.0,0.0,0.0,29.54,30.23,0.9,29.0,2.6,2012,1,14,-,-, 
14,17,2012-01-15,65.0,25.0,45.0,27.0,39.0,20.0,0.0,0.0,0.0,29.36,30.09,10.0,18.0,10.2,2012,1,15,-,-, 
15,17,2012-01-16,73.0,56.0,65.0,50.0,56.0,0.0,0.0,0.0,0.0,29.1,29.82,16.4,20.0,16.6,2012,1,16,-,-, 
16,17,2012-01-17,66.0,26.0,46.0,18.0,30.0,19.0,0.0,0.0,0.0,29.62,30.26,7.0,34.0,8.9,2012,1,17,-,-, 
17,17,2012-01-18,46.0,17.0,32.0,17.0,28.0,33.0,0.0,0.0,0.0,29.47,30.19,3.4,18.0,4.2,2012,1,18,-,-, 
18,17,2012-01-19,55.0,25.0,40.0,25.0,34.0,25.0,0.0,0.0,0.0,29.22,29.94,3.8,3.0,5.7,2012,1,19,-,-, 
19,17,2012-01-20,44.0,26.0,35.0,26.0,31.0,30.0,0.0,0.0,0.0,29.19,29.86,6.0,1.0,6.9,2012,1,20,-,-,BR HZ
20,17,2012-01-21,42.0,20.0,31.0,17.0,27.0,34.0,0.0,0.0,0.0,29.33,30.05,3.4,3.0,7.5,2012,1,21,-,-, 
21,17,2012-01-22,72.0,42.0,57.0,37.0,46.0,8.0,0.0,0.0,0.0,28.95,29.63,11.7,20.0,15.0,2012,1,22,-,-,HZ DU
22,17,2012-01-23,59.0,29.0,44.0,24.0,36.0,21.0,0.0,0.0,0.0,29.36,30.03,2.5,29.0,2.6,2012,1,23,-,-,DU
23,17,2012-01-24,64.0,27.0,46.0,25.0,38.0,19.0,0.0,0.0,0.22,29.42,30.1,5.2,14.0,5.9,2012,1,24,-,-,RA
24,17,2012-01-25,50.0,44.0,47.0,40.0,43.0,18.0,0.0,0.0,0.49,29.31,30.02,6.8,2.0,7.1,2012,1,25,-,-,RA BR
