,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day
0,6,2012-01-01,63.0,34.0,49.0,0.0,31.0,43.0,16.0,0.0,0727,1742, ,0.0,0.0,29.95,30.47,14.0,36.0,13.8,2012,1,1
1,6,2012-01-02,60.0,30.0,45.0,4.0,27.0,38.0,20.0,0.0,0727,1742, ,0.0,0.0,30.09,30.63,9.0,1.0,9.3,2012,1,2
2,6,2012-01-03,62.0,25.0,44.0,5.0,26.0,37.0,21.0,0.0,0727,1743, ,0.0,0.0,29.88,30.48,5.4,18.0,5.8,2012,1,3
3,6,2012-01-04,71.0,31.0,51.0,2.0,41.0,45.0,14.0,0.0,0728,1744,BR,0.0,0.0,29.72,30.28,0.8,22.0,4.7,2012,1,4
4,6,2012-01-05,71.0,38.0,55.0,6.0,43.0,50.0,10.0,0.0,0728,1745, ,0.0,0.0,29.68,30.24,0.3,25.0,2.3,2012,1,5
5,6,2012-01-06,75.0,43.0,69.31292517006803,5.511022044088176,54.0,57.0,4.434402332361516,8.747327502429544,0728,1745,BR,0.0,0.10562785388127856,29.44,29.99,10.6,19.0,10.8,2012,1,6
6,6,2012-01-07,70.0,46.0,58.0,9.0,45.0,51.0,7.0,0.0,0728,1746,FG+ BR,0.0,0.0,29.47,30.0,1.6,33.0,3.4,2012,1,7
7,6,2012-01-08,61.0,42.0,52.0,3.0,49.0,52.0,13.0,0.0,0728,1747,RA BR,0.0,0.01,29.47,30.0,7.7,2.0,8.1,2012,1,8
8,6,2012-01-09,58.0,43.0,51.0,2.0,48.0,49.0,14.0,0.0,0728,1748,TSRA RA DZ BR,0.0,0.62,29.48,30.0,11.2,35.0,12.5,2012,1,9
9,6,2012-01-10,60.0,35.0,48.0,1.0,37.0,43.0,17.0,0.0,0728,1749, ,0.0,0.10562785388127856,29.41,29.97,7.8,31.0,8.4,2012,1,10
10,6,2012-01-11,76.0,29.0,53.0,4.0,36.0,45.0,12.0,0.0,0728,1749, ,0.0,0.0,29.28,29.81,5.8,24.0,9.9,2012,1,11
11,6,2012-01-12,51.0,28.0,40.0,9.0,18.0,33.0,25.0,0.0,0728,1750, ,0.0,0.0,29.7,30.22,13.3,34.0,13.9,2012,1,12
12,6,2012-01-13,59.0,26.0,43.0,6.0,23.0,35.0,22.0,0.0,0728,1751, ,0.0,0.0,29.77,30.3,2.1,21.0,3.7,2012,1,13
13,6,2012-01-14,66.0,22.0,44.0,5.0,25.0,36.0,21.0,0.0,0728,1752, ,0.0,0.0,29.8,30.35,4.1,21.0,4.4,2012,1,14
14,6,2012-01-15,64.0,26.0,45.0,4.0,42.0,46.0,20.0,0.0,0728,1753, ,0.0,0.10562785388127856,29.7,30.27,6.9,18.0,7.0,2012,1,15
15,6,2012-01-16,76.0,59.0,68.0,19.0,61.0,63.0,0.0,3.0,0727,1754, ,0.0,0.10562785388127856,29.49,30.04,13.2,19.0,13.5,2012,1,16
16,6,2012-01-17,75.0,43.0,59.0,10.0,48.0,55.0,6.0,0.0,0727,1754,DZ BR HZ,0.0,0.10562785388127856,29.62,30.11,8.8,1.0,13.9,2012,1,17
17,6,2012-01-18,64.0,35.0,50.0,1.0,31.0,41.0,15.0,0.0,0727,1755, ,0.0,0.0,29.65,30.2,1.6,2.0,7.6,2012,1,18
18,6,2012-01-19,77.0,46.0,62.0,13.0,50.0,54.0,3.0,0.0,0727,1756, ,0.0,0.0,29.38,29.93,9.6,20.0,9.7,2012,1,19
19,6,2012-01-20,75.0,50.0,63.0,14.0,60.0,61.0,2.0,0.0,0727,1757,FG+ FG BCFG BR,0.0,0.0,29.3,29.83,7.6,20.0,7.7,2012,1,20
20,6,2012-01-21,58.0,43.0,51.0,2.0,42.0,47.0,14.0,0.0,0726,1758,FG+,0.0,0.0,29.42,29.96,6.6,36.0,7.6,2012,1,21
21,6,2012-01-22,74.0,43.0,59.0,10.0,55.0,56.0,6.0,0.0,0726,1759,DZ BR,0.0,0.10562785388127856,29.29,29.81,6.4,19.0,7.2,2012,1,22
22,6,2012-01-23,66.0,40.0,53.0,4.0,38.0,45.0,12.0,0.0,0726,1760, ,0.0,0.0,29.52,30.04,5.8,2.0,6.3,2012,1,23
23,6,2012-01-24,69.0,40.0,55.0,6.0,54.0,56.0,10.0,0.0,0725,1801,RA BR,0.0,0.15,29.34,29.9,2.8,9.0,5.1,2012,1,24
24,6,2012-01-25,70.0,51.0,61.0,11.0,52.0,54.0,4.0,0.0,0725,1801,TS TSRA BR,0.0,5.67,29.34,29.85,6.5,32.0,9.7,2012,1,25
25,6,2012-01-26,69.0,39.0,54.0,4.0,42.0,49.0,11.0,0.0,0724,1801, ,0.0,0.0,29.49,29.99,6.5,30.0,7.1,2012,1,26
26,6,2012-01-27,71.0,32.0,52.0,2.0,43.0,47.0,13.0,0.0,0724,1802, ,0.0,0.0,29.51,30.03,6.2,19.0,7.1,2012,1,27
27,6,2012-01-28,60.0,34.0,47.0,3.0,31.0,41.0,18.0,0.0,0723,1803, ,0.0,0.0,29.85,30.36,14.6,2.0,14.9,2012,1,28
28,6,2012-01-29,63.0,29.0,46.0,4.0,33.0,40.0,19.0,0.0,0723,1804, ,0.0,0.0,29.85,30.4,1.0,15.0,3.5,2012,1,29
29,6,2012-01-30,65.0,33.0,49.0,1.0,48.0,50.0,16.0,0.0,0722,1805,RA BR,0.0,0.38,29.67,30.24,4.9,18.0,5.1,2012,1,30
30,6,2012-01-31,72.0,53.0,63.0,13.0,59.0,60.0,2.0,0.0,0722,1806,RA BCFG BR,0.0,0.48,29.54,30.09,6.1,19.0,6.4,2012,1,31
31,6,2012-02-01,77.0,57.0,67.0,17.0,62.0,63.0,0.0,2.0,0721,1807,RA DZ FG+ BCFG BR,0.0,0.02,29.54,30.06,1.7,18.0,1.9,2012,2,1
32,6,2012-02-02,75.0,51.0,63.0,13.0,60.0,61.0,2.0,0.0,0721,1807,BCFG BR HZ,0.0,0.01,29.47,30.01,3.1,14.0,4.1,2012,2,2
33,6,2012-02-03,76.0,67.0,72.0,22.0,66.0,67.0,0.0,7.0,0720,1808,TSRA RA,0.0,0.02,29.4,29.93,8.3,17.0,8.8,2012,2,3
