,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,sunset,codesum,sunrise
0,8,2012-01-01,66.0,45.0,73.26807760141094,16.0,34.0,46.0,3.1922398589065257,11.46031746031746,0.0,0.0,30.05,30.19,11.0,36.0,10.9,2012,1,1,-,RA BR,-
1,8,2012-01-02,59.0,36.0,73.26807760141094,13.0,29.0,40.0,3.1922398589065257,11.46031746031746,0.0,0.0,30.25,30.41,6.2,36.0,6.7,2012,1,2,-, ,-
2,8,2012-01-03,61.0,30.0,73.26807760141094,2.0,28.0,38.0,3.1922398589065257,11.46031746031746,0.0,0.0,30.12,30.35,3.9,16.0,3.9,2012,1,3,-, ,-
3,8,2012-01-04,72.0,37.0,73.26807760141094,5.0,45.0,49.0,3.1922398589065257,11.46031746031746,0.0,0.0,29.9,30.19,1.4,24.0,2.6,2012,1,4,-, ,-
4,8,2012-01-05,70.0,46.0,73.26807760141094,2.0,46.0,52.0,3.1922398589065257,11.46031746031746,0.0,0.0,29.87,29.98,0.9,33.0,1.0,2012,1,5,-, ,-
5,8,2012-01-06,73.0,57.0,73.26807760141094,4.0,53.0,58.0,3.1922398589065257,11.46031746031746,0.0,0.0,29.65,30.06,7.7,20.0,8.0,2012,1,6,-,BR HZ,-
6,8,2012-01-07,68.0,54.0,73.26807760141094,1.0,51.0,54.0,3.1922398589065257,11.46031746031746,0.0,0.0,29.63,29.86,0.4,31.0,1.7,2012,1,7,-,FG+ FG BR,-
7,8,2012-01-08,72.0,52.0,73.26807760141094,1.0,55.0,58.0,3.1922398589065257,11.46031746031746,0.0,0.03,29.64,29.86,1.1,36.0,1.2,2012,1,8,-,RA BR HZ,-
8,8,2012-01-09,68.0,48.0,73.26807760141094,16.0,50.0,52.0,3.1922398589065257,11.46031746031746,0.0,0.62,29.6,29.92,8.4,34.0,9.4,2012,1,9,-,TSRA RA DZ BR VCTS,-
9,8,2012-01-10,59.0,41.0,73.26807760141094,2.0,38.0,44.0,3.1922398589065257,11.46031746031746,0.0,0.0,29.6,30.06,7.4,30.0,8.1,2012,1,10,-, ,-
10,8,2012-01-11,72.0,41.0,73.26807760141094,2.0,36.0,47.0,3.1922398589065257,11.46031746031746,0.0,0.0,29.45,30.06,6.4,25.0,8.9,2012,1,11,-, ,-
11,8,2012-01-12,54.0,32.0,73.26807760141094,16.0,20.0,34.0,3.1922398589065257,11.46031746031746,0.0,0.0,29.83,30.19,12.1,34.0,13.0,2012,1,12,-, ,-
12,8,2012-01-13,55.0,30.0,73.26807760141094,2.0,26.0,36.0,3.1922398589065257,11.46031746031746,0.0,0.0,29.94,30.35,1.6,23.0,2.4,2012,1,13,-, ,-
13,8,2012-01-14,63.0,30.0,73.26807760141094,5.0,30.0,39.0,3.1922398589065257,11.46031746031746,0.0,0.0,29.99,30.19,4.0,22.0,4.6,2012,1,14,-, ,-
14,8,2012-01-15,64.0,34.0,73.26807760141094,0.0,45.0,49.0,3.1922398589065257,11.46031746031746,0.0,0.0,29.91,30.04,5.6,17.0,5.9,2012,1,15,-, ,-
15,8,2012-01-16,73.0,63.0,73.26807760141094,0.0,61.0,64.0,3.1922398589065257,11.46031746031746,0.0,0.0,29.72,29.88,11.2,18.0,10.9,2012,1,16,-,BR,-
16,8,2012-01-17,77.0,46.0,73.26807760141094,2.0,50.0,57.0,3.1922398589065257,11.46031746031746,0.0,0.0,29.73,29.98,3.7,35.0,9.0,2012,1,17,-,RA BR HZ,-
17,8,2012-01-18,63.0,36.0,73.26807760141094,2.0,35.0,43.0,3.1922398589065257,11.46031746031746,0.0,0.0,29.85,29.98,1.3,35.0,5.0,2012,1,18,-, ,-
18,8,2012-01-19,72.0,48.0,73.26807760141094,4.0,52.0,56.0,3.1922398589065257,11.46031746031746,0.0,0.0,29.59,30.06,7.3,20.0,7.8,2012,1,19,-,BR,-
19,8,2012-01-20,77.0,61.0,73.26807760141094,4.0,61.0,64.0,3.1922398589065257,11.46031746031746,0.0,0.0,29.49,30.06,8.9,19.0,9.0,2012,1,20,-,BR HZ,-
20,8,2012-01-21,70.0,48.0,73.26807760141094,2.0,48.0,52.0,3.1922398589065257,11.46031746031746,0.0,0.0,29.58,29.98,4.3,34.0,6.5,2012,1,21,-,BR HZ,-
21,8,2012-01-22,79.0,52.0,73.26807760141094,7.0,57.0,60.0,3.1922398589065257,11.46031746031746,0.0,0.0,29.47,29.98,3.0,19.0,3.3,2012,1,22,-,FG+ BR HZ,-
22,8,2012-01-23,63.0,46.0,73.26807760141094,5.0,39.0,48.0,3.1922398589065257,11.46031746031746,0.0,0.0,29.67,30.02,3.6,2.0,3.8,2012,1,23,-,BR,-
23,8,2012-01-24,70.0,46.0,73.26807760141094,3.0,56.0,58.0,3.1922398589065257,11.46031746031746,0.0,0.12,29.56,30.05,4.3,13.0,4.7,2012,1,24,-,TS RA BR HZ,-
24,8,2012-01-25,72.0,52.0,73.26807760141094,1.0,53.0,55.0,3.1922398589065257,11.46031746031746,0.0,3.0,29.47,29.88,1.9,33.0,10.2,2012,1,25,-,TSRA RA DZ VCTS,-
25,8,2012-01-26,66.0,45.0,73.26807760141094,2.0,42.0,49.0,3.1922398589065257,11.46031746031746,0.0,0.0,29.63,29.98,4.9,30.0,5.5,2012,1,26,-, ,-
26,8,2012-01-27,70.0,37.0,73.26807760141094,3.0,43.0,49.0,3.1922398589065257,11.46031746031746,0.0,0.0,29.68,30.05,5.7,17.0,5.7,2012,1,27,-, ,-
