,station_nbr,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed
1,2,48.0,33.0,41.0,37.0,39.0,24.0,0.0,RA,0.0,0.07,28.82,29.91,9.1,23.0,11.3
2,3,55.0,34.0,45.0,24.0,36.0,20.0,0.0,moderate,0.0,0.0,29.77,30.47,9.9,31.0,10.0
3,4,63.0,47.0,55.0,28.0,43.0,10.0,0.0,moderate,0.0,0.0,29.79,30.48,8.0,35.0,8.2
4,6,63.0,34.0,49.0,31.0,43.0,16.0,0.0,moderate,0.0,0.0,29.95,30.47,14.0,36.0,13.8
5,7,50.0,33.0,42.0,26.0,35.0,23.0,0.0,moderate,0.0,0.0,29.15,30.54,10.3,32.0,10.2
9,11,72.0,48.0,60.0,54.0,56.0,5.0,0.0,FG+ FG BR,0.0,0.0,30.15,30.18,4.6,23.0,4.8
10,12,72.0,48.0,60.0,54.0,57.0,5.0,0.0,FG+ FG BR,0.0,0.0,30.15,30.19,4.4,25.0,4.8
12,14,50.0,34.0,42.0,25.0,35.0,23.0,0.0,moderate,0.0,0.0,29.13,30.52,11.4,32.0,11.3
13,15,48.0,26.0,37.0,35.0,38.0,28.0,0.0,RA FG+ FZFG BR,0.0,0.09,29.53,29.89,2.5,17.0,3.8
15,17,56.0,38.0,47.0,23.0,37.0,18.0,0.0,moderate,0.0,0.0,29.83,30.5,5.4,32.0,5.8
16,18,59.0,40.0,50.0,28.0,40.0,15.0,0.0,moderate,0.0,0.0,29.98,30.49,9.0,33.0,8.9
17,19,38.0,25.0,32.0,26.0,30.0,33.0,0.0,RA SN BR,0.5,0.12,29.06,29.79,14.6,29.0,15.6
18,20,59.0,41.0,50.0,28.0,40.0,15.0,0.0,moderate,0.0,0.0,29.78,30.48,10.9,33.0,10.8
21,3,45.0,24.0,35.0,11.0,28.0,30.0,0.0,moderate,0.0,0.0,29.89,30.63,7.7,32.0,8.2
22,4,60.0,37.0,49.0,26.0,39.0,16.0,0.0,moderate,0.0,0.0,29.93,30.64,3.7,36.0,4.8
23,6,60.0,30.0,45.0,27.0,38.0,20.0,0.0,moderate,0.0,0.0,30.09,30.63,9.0,1.0,9.3
24,7,44.0,26.0,35.0,17.0,29.0,30.0,0.0,moderate,0.0,0.0,29.23,30.66,5.7,34.0,6.9
28,11,63.0,40.0,52.0,31.0,44.0,13.0,0.0,moderate,0.0,0.0,30.1,30.14,10.2,29.0,11.1
29,12,65.0,47.0,56.0,33.0,46.0,9.0,0.0,moderate,0.0,0.0,30.09,30.14,11.7,30.0,12.7
31,14,45.0,26.0,36.0,16.0,29.0,29.0,0.0,moderate,0.0,0.0,29.21,30.65,6.3,35.0,7.4
32,15,43.0,29.0,36.0,24.0,32.0,29.0,0.0,BR,0.0,0.02,29.2,29.58,7.1,24.0,8.1
34,17,45.0,22.0,34.0,10.0,28.0,31.0,0.0,moderate,0.0,0.0,29.96,30.66,3.7,33.0,4.8
35,18,53.0,35.0,44.0,23.0,36.0,21.0,0.0,moderate,0.0,0.0,30.11,30.63,6.7,35.0,6.9
37,20,53.0,33.0,43.0,21.0,35.0,22.0,0.0,moderate,0.0,0.0,29.9,30.62,7.9,34.0,8.6
39,2,28.0,9.0,19.0,4.0,16.0,46.0,0.0,moderate,0.0,0.0,28.69,29.85,12.3,31.0,12.8
40,3,55.0,21.0,38.0,19.0,32.0,27.0,0.0,moderate,0.0,0.0,29.55,30.34,11.6,17.0,11.8
41,4,62.0,31.0,47.0,26.0,39.0,18.0,0.0,moderate,0.0,0.0,29.7,30.48,3.1,17.0,4.2
42,6,62.0,25.0,44.0,26.0,37.0,21.0,0.0,moderate,0.0,0.0,29.88,30.48,5.4,18.0,5.8
43,7,60.0,27.0,44.0,22.0,35.0,21.0,0.0,moderate,0.0,0.0,28.84,30.3,15.7,19.0,15.9
47,11,44.0,25.0,35.0,12.0,28.0,30.0,0.0,moderate,0.0,0.0,30.26,30.33,9.3,31.0,9.7
