,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,codesum
0,14,2012-01-01,50.0,34.0,42.0,5.0,25.0,35.0,23.0,0.0,459.0,1049.0,0.0,0.0,29.13,30.52,11.4,32.0,11.3,2012,1,1, 
1,14,2012-01-02,45.0,26.0,36.0,1.0,16.0,29.0,29.0,0.0,459.0,1049.0,0.0,0.0,29.21,30.65,6.3,35.0,7.4,2012,1,2, 
2,14,2012-01-03,60.0,24.0,42.0,5.0,23.0,33.0,23.0,0.0,460.0,1050.0,0.0,0.0,28.84,30.3,12.4,18.0,12.7,2012,1,3, 
3,14,2012-01-04,58.0,32.0,45.0,9.0,27.0,37.0,20.0,0.0,460.0,1051.0,0.0,0.0,28.89,30.29,6.1,34.0,7.6,2012,1,4, 
4,14,2012-01-05,67.0,29.0,48.0,12.0,28.0,38.0,17.0,0.0,460.0,1052.0,0.0,0.0,28.71,30.14,9.8,21.0,10.3,2012,1,5, 
5,14,2012-01-06,67.0,37.0,52.0,16.0,31.0,42.0,13.0,0.0,460.0,1053.0,0.0,0.0,28.5,29.89,5.1,21.0,12.2,2012,1,6, 
6,14,2012-01-07,59.0,38.0,49.0,13.0,24.0,38.0,16.0,0.0,460.0,1054.0,0.0,0.0,28.66,30.05,11.0,3.0,11.8,2012,1,7, 
7,14,2012-01-08,51.0,42.0,47.0,11.0,26.0,38.0,18.0,0.0,460.0,1055.0,0.0,0.0,28.76,30.14,10.5,2.0,10.8,2012,1,8, 
8,14,2012-01-09,51.0,32.0,42.0,6.0,26.0,35.0,23.0,0.0,460.0,1055.0,0.0,0.0,28.77,30.19,10.5,36.0,10.6,2012,1,9, 
9,14,2012-01-10,54.0,30.0,42.0,6.0,28.0,37.0,23.0,0.0,460.0,1056.0,0.0,0.0,28.5,29.93,6.6,36.0,8.0,2012,1,10,RA
10,14,2012-01-11,56.0,29.0,43.0,7.0,28.0,35.0,22.0,0.0,460.0,1057.0,0.0,0.0,28.45,29.82,14.2,35.0,15.6,2012,1,11,SN
11,14,2012-01-12,37.0,18.0,28.0,8.0,2.0,22.0,37.0,0.0,459.0,1058.0,0.0,0.0,28.76,30.16,16.8,32.0,17.3,2012,1,12, 
