,date,units
0,2012-01-01,29
1,2012-01-01,2
2,2012-01-01,1
3,2012-01-02,60
4,2012-01-02,5
5,2012-01-02,1
6,2012-01-03,15
7,2012-01-03,9
8,2012-01-04,20
9,2012-01-04,3
10,2012-01-05,16
11,2012-01-05,1
12,2012-01-06,12
13,2012-01-06,2
14,2012-01-07,2
15,2012-01-07,1
16,2012-01-08,22
17,2012-01-08,4
18,2012-01-08,1
19,2012-01-09,50
20,2012-01-09,1
21,2012-01-09,1
22,2012-01-10,25
23,2012-01-11,26
24,2012-01-11,1
25,2012-01-11,4
26,2012-01-11,3
27,2012-01-12,32
28,2012-01-12,2
29,2012-01-12,4
30,2012-01-12,3
31,2012-01-13,29
32,2012-01-13,3
33,2012-01-13,1
34,2012-01-13,5
35,2012-01-14,48
36,2012-01-14,3
37,2012-01-14,1
38,2012-01-15,40
39,2012-01-15,1
40,2012-01-15,1
41,2012-01-15,2
42,2012-01-16,31
43,2012-01-16,6
44,2012-01-16,1
45,2012-01-17,40
46,2012-01-18,21
47,2012-01-18,1
48,2012-01-19,35
49,2012-01-19,1
50,2012-01-19,1
51,2012-01-19,3
52,2012-01-20,38
53,2012-01-20,4
54,2012-01-20,2
55,2012-01-20,9
56,2012-01-21,26
57,2012-01-21,3
58,2012-01-21,1
59,2012-01-21,17
60,2012-01-22,52
61,2012-01-22,5
62,2012-01-22,2
63,2012-01-22,8
64,2012-01-22,4
65,2012-01-23,2
66,2012-01-23,1
67,2012-01-23,2
68,2012-01-23,3
69,2012-01-24,11
70,2012-01-24,3
71,2012-01-24,3
72,2012-01-25,11
73,2012-01-25,2
74,2012-01-25,1
75,2012-01-26,31
76,2012-01-26,3
77,2012-01-26,3
78,2012-01-27,33
79,2012-01-27,2
80,2012-01-28,115
81,2012-01-28,4
82,2012-01-28,1
83,2012-01-29,185
84,2012-01-29,4
85,2012-01-29,1
86,2012-01-29,1
87,2012-01-29,4
88,2012-01-30,73
89,2012-01-30,5
90,2012-01-31,39
91,2012-01-31,4
92,2012-02-01,60
93,2012-02-01,3
94,2012-02-02,76
95,2012-02-02,3
96,2012-02-03,104
97,2012-02-03,1
98,2012-02-04,207
99,2012-02-04,5
100,2012-02-04,2
101,2012-02-05,86
102,2012-02-05,3
103,2012-02-05,4
104,2012-02-06,47
105,2012-02-06,2
106,2012-02-07,31
107,2012-02-07,3
108,2012-02-07,2
109,2012-02-08,43
110,2012-02-08,3
111,2012-02-08,2
112,2012-02-08,5
113,2012-02-09,42
114,2012-02-09,2
115,2012-02-10,17
116,2012-02-10,4
117,2012-02-10,6
118,2012-02-11,50
119,2012-02-11,4
120,2012-02-12,80
121,2012-02-12,5
122,2012-02-13,21
123,2012-02-13,6
124,2012-02-14,69
125,2012-02-14,1
126,2012-02-15,5
127,2012-02-15,5
128,2012-02-15,3
129,2012-02-16,54
130,2012-02-16,4
131,2012-02-16,2
132,2012-02-16,10
133,2012-02-17,72
134,2012-02-17,5
135,2012-02-18,31
136,2012-02-18,6
137,2012-02-18,1
138,2012-02-19,43
139,2012-02-19,10
140,2012-02-20,27
141,2012-02-20,5
142,2012-02-20,1
143,2012-02-21,28
144,2012-02-21,6
145,2012-02-22,36
146,2012-02-22,9
147,2012-02-22,6
148,2012-02-23,14
149,2012-02-23,8
150,2012-02-24,24
151,2012-02-24,3
152,2012-02-24,13
153,2012-02-25,60
154,2012-02-25,9
155,2012-02-26,47
156,2012-02-26,4
157,2012-02-27,19
158,2012-02-27,7
159,2012-02-28,15
160,2012-02-28,4
161,2012-02-29,30
162,2012-02-29,5
163,2012-02-29,5
