,station_nbr,date,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed
1,2,2012-01-01,48.0,33.0,41.0,37.0,39.0,24.0,0.0,716.0,1626.0,RA,0.0,0.07,28.82,29.91,9.1,23.0,11.3
2,3,2012-01-01,55.0,34.0,45.0,24.0,36.0,20.0,0.0,735.0,1720.0,moderate,0.0,0.0,29.77,30.47,9.9,31.0,10.0
3,4,2012-01-01,63.0,47.0,55.0,28.0,43.0,10.0,0.0,728.0,1742.0,moderate,0.0,0.0,29.79,30.48,8.0,35.0,8.2
4,6,2012-01-01,63.0,34.0,49.0,31.0,43.0,16.0,0.0,727.0,1742.0,moderate,0.0,0.0,29.95,30.47,14.0,36.0,13.8
9,11,2012-01-01,72.0,48.0,60.0,54.0,56.0,5.0,0.0,724.0,1737.0,FG+ FG BR,0.0,0.0,30.15,30.18,4.6,23.0,4.8
12,14,2012-01-01,50.0,34.0,42.0,25.0,35.0,23.0,0.0,739.0,1729.0,moderate,0.0,0.0,29.13,30.52,11.4,32.0,11.3
13,15,2012-01-01,48.0,26.0,37.0,35.0,38.0,28.0,0.0,718.0,1621.0,RA FG+ FZFG BR,0.0,0.09,29.53,29.89,2.5,17.0,3.8
16,18,2012-01-01,59.0,40.0,50.0,28.0,40.0,15.0,0.0,730.0,1732.0,moderate,0.0,0.0,29.98,30.49,9.0,33.0,8.9
17,19,2012-01-01,38.0,25.0,32.0,26.0,30.0,33.0,0.0,723.0,1628.0,RA SN BR,0.5,0.12,29.06,29.79,14.6,29.0,15.6
21,3,2012-01-02,45.0,24.0,35.0,11.0,28.0,30.0,0.0,735.0,1721.0,moderate,0.0,0.0,29.89,30.63,7.7,32.0,8.2
22,4,2012-01-02,60.0,37.0,49.0,26.0,39.0,16.0,0.0,728.0,1742.0,moderate,0.0,0.0,29.93,30.64,3.7,36.0,4.8
23,6,2012-01-02,60.0,30.0,45.0,27.0,38.0,20.0,0.0,727.0,1742.0,moderate,0.0,0.0,30.09,30.63,9.0,1.0,9.3
28,11,2012-01-02,63.0,40.0,52.0,31.0,44.0,13.0,0.0,724.0,1738.0,moderate,0.0,0.0,30.1,30.14,10.2,29.0,11.1
31,14,2012-01-02,45.0,26.0,36.0,16.0,29.0,29.0,0.0,739.0,1729.0,moderate,0.0,0.0,29.21,30.65,6.3,35.0,7.4
32,15,2012-01-02,43.0,29.0,36.0,24.0,32.0,29.0,0.0,718.0,1622.0,BR,0.0,0.02,29.2,29.58,7.1,24.0,8.1
35,18,2012-01-02,53.0,35.0,44.0,23.0,36.0,21.0,0.0,730.0,1733.0,moderate,0.0,0.0,30.11,30.63,6.7,35.0,6.9
39,2,2012-01-03,28.0,9.0,19.0,4.0,16.0,46.0,0.0,716.0,1628.0,moderate,0.0,0.0,28.69,29.85,12.3,31.0,12.8
40,3,2012-01-03,55.0,21.0,38.0,19.0,32.0,27.0,0.0,735.0,1721.0,moderate,0.0,0.0,29.55,30.34,11.6,17.0,11.8
41,4,2012-01-03,62.0,31.0,47.0,26.0,39.0,18.0,0.0,728.0,1743.0,moderate,0.0,0.0,29.7,30.48,3.1,17.0,4.2
42,6,2012-01-03,62.0,25.0,44.0,26.0,37.0,21.0,0.0,727.0,1743.0,moderate,0.0,0.0,29.88,30.48,5.4,18.0,5.8
47,11,2012-01-03,44.0,25.0,35.0,12.0,28.0,30.0,0.0,724.0,1738.0,moderate,0.0,0.0,30.26,30.33,9.3,31.0,9.7
50,14,2012-01-03,60.0,24.0,42.0,23.0,33.0,23.0,0.0,740.0,1730.0,moderate,0.0,0.0,28.84,30.3,12.4,18.0,12.7
51,15,2012-01-03,30.0,5.0,18.0,2.0,14.0,47.0,0.0,718.0,1623.0,moderate,0.0,0.0,29.44,29.87,13.1,31.0,13.7
54,18,2012-01-03,59.0,30.0,45.0,25.0,37.0,20.0,0.0,730.0,1734.0,moderate,0.0,0.0,29.84,30.41,8.8,17.0,9.1
55,19,2012-01-03,26.0,10.0,18.0,5.0,15.0,47.0,0.0,723.0,1630.0,moderate,0.0,0.0,29.43,30.26,5.5,23.0,9.2
58,2,2012-01-04,21.0,5.0,13.0,0.0,11.0,52.0,0.0,716.0,1629.0,moderate,0.0,0.0,28.87,30.01,10.1,27.0,11.7
59,3,2012-01-04,63.0,31.0,47.0,26.0,37.0,18.0,0.0,735.0,1722.0,moderate,0.0,0.0,29.53,30.27,2.5,31.0,4.9
60,4,2012-01-04,73.0,41.0,57.0,39.0,47.0,8.0,0.0,728.0,1744.0,moderate,0.0,0.0,29.55,30.28,1.3,35.0,2.2
61,6,2012-01-04,71.0,31.0,51.0,41.0,45.0,14.0,0.0,728.0,1744.0,BR,0.0,0.0,29.72,30.28,0.8,22.0,4.7
66,11,2012-01-04,54.0,22.0,38.0,15.0,29.0,27.0,0.0,724.0,1739.0,moderate,0.0,0.0,30.34,30.37,2.3,27.0,3.1
69,14,2012-01-04,58.0,32.0,45.0,27.0,37.0,20.0,0.0,740.0,1731.0,moderate,0.0,0.0,28.89,30.29,6.1,34.0,7.6
70,15,2012-01-04,23.0,3.0,13.0,-1.0,11.0,52.0,0.0,718.0,1624.0,moderate,0.0,0.0,29.63,30.02,5.1,30.0,6.4
73,18,2012-01-04,62.0,37.0,50.0,33.0,41.0,15.0,0.0,730.0,1734.0,moderate,0.0,0.0,29.75,30.28,0.8,15.0,5.5
74,19,2012-01-04,34.0,24.0,29.0,17.0,25.0,36.0,0.0,723.0,1631.0,moderate,0.0,0.0,29.21,30.0,7.9,27.0,9.7
77,2,2012-01-05,31.0,20.0,26.0,12.0,21.0,39.0,0.0,716.0,1630.0,moderate,0.0,0.0,28.7,29.84,10.9,26.0,11.3
78,3,2012-01-05,68.0,31.0,50.0,28.0,41.0,15.0,0.0,735.0,1723.0,moderate,0.0,0.0,29.35,30.11,7.3,19.0,7.6
79,4,2012-01-05,70.0,44.0,57.0,41.0,49.0,8.0,0.0,728.0,1745.0,moderate,0.0,0.0,29.51,30.24,0.4,31.0,1.8
80,6,2012-01-05,71.0,38.0,55.0,43.0,50.0,10.0,0.0,728.0,1745.0,moderate,0.0,0.0,29.68,30.24,0.3,25.0,2.3
88,14,2012-01-05,67.0,29.0,48.0,28.0,38.0,17.0,0.0,740.0,1732.0,moderate,0.0,0.0,28.71,30.14,9.8,21.0,10.3
89,15,2012-01-05,36.0,17.0,27.0,13.0,22.0,38.0,0.0,718.0,1625.0,moderate,0.0,0.0,29.42,29.82,3.5,29.0,5.8
92,18,2012-01-05,66.0,35.0,51.0,33.0,42.0,14.0,0.0,731.0,1735.0,moderate,0.0,0.0,29.66,30.21,2.7,18.0,2.9
93,19,2012-01-05,47.0,26.0,37.0,26.0,33.0,28.0,0.0,723.0,1631.0,moderate,0.0,0.0,29.02,29.83,8.4,23.0,8.5
96,2,2012-01-06,47.0,21.0,34.0,23.0,30.0,31.0,0.0,716.0,1630.0,SN,0.2,0.01,28.71,29.81,6.4,22.0,6.8
97,3,2012-01-06,69.0,40.0,55.0,35.0,44.0,10.0,0.0,735.0,1724.0,moderate,0.0,0.0,29.16,29.89,6.1,18.0,9.6
104,11,2012-01-06,71.0,36.0,54.0,40.0,46.0,11.0,0.0,725.0,1741.0,FG+ BR,0.0,0.0,30.12,30.16,1.8,25.0,2.1
107,14,2012-01-06,67.0,37.0,52.0,31.0,42.0,13.0,0.0,740.0,1733.0,moderate,0.0,0.0,28.5,29.89,5.1,21.0,12.2
108,15,2012-01-06,33.0,15.0,24.0,19.0,23.0,41.0,0.0,718.0,1626.0,SN,0.2,0.01,29.46,29.83,0.6,35.0,1.8
111,18,2012-01-06,73.0,48.0,61.0,46.0,53.0,4.0,0.0,731.0,1736.0,moderate,0.0,0.0,29.39,29.93,8.6,19.0,9.1
112,19,2012-01-06,51.0,38.0,45.0,29.0,38.0,20.0,0.0,723.0,1632.0,moderate,0.0,0.0,28.95,29.71,7.2,27.0,7.9
115,2,2012-01-07,56.0,37.0,47.0,29.0,38.0,18.0,0.0,716.0,1631.0,moderate,0.0,0.0,28.63,29.75,8.9,26.0,9.6
116,3,2012-01-07,58.0,36.0,47.0,26.0,39.0,18.0,0.0,735.0,1725.0,moderate,0.0,0.0,29.36,30.06,8.2,1.0,8.9
118,6,2012-01-07,70.0,46.0,58.0,45.0,51.0,7.0,0.0,728.0,1746.0,FG+ BR,0.0,0.0,29.47,30.0,1.6,33.0,3.4
126,14,2012-01-07,59.0,38.0,49.0,24.0,38.0,16.0,0.0,740.0,1734.0,moderate,0.0,0.0,28.66,30.05,11.0,3.0,11.8
127,15,2012-01-07,44.0,22.0,33.0,25.0,29.0,32.0,0.0,718.0,1627.0,moderate,0.0,0.0,29.35,29.75,0.6,29.0,0.9
130,18,2012-01-07,61.0,44.0,53.0,41.0,47.0,12.0,0.0,731.0,1737.0,moderate,0.0,0.0,29.47,29.98,4.3,31.0,6.4
131,19,2012-01-07,41.0,29.0,35.0,23.0,31.0,30.0,0.0,722.0,1633.0,moderate,0.0,0.0,29.32,30.03,7.4,30.0,7.7
134,2,2012-01-08,39.0,25.0,32.0,20.0,29.0,33.0,0.0,716.0,1633.0,moderate,0.0,0.0,28.95,30.11,10.8,29.0,11.0
135,3,2012-01-08,53.0,33.0,43.0,28.0,38.0,22.0,0.0,735.0,1726.0,moderate,0.0,0.0,29.45,30.16,8.3,36.0,8.4
137,6,2012-01-08,61.0,42.0,52.0,49.0,52.0,13.0,0.0,728.0,1747.0,RA BR,0.0,0.01,29.47,30.0,7.7,2.0,8.1
142,11,2012-01-08,75.0,42.0,59.0,49.0,53.0,6.0,0.0,725.0,1742.0,BR,0.0,0.0,30.17,30.21,2.0,15.0,2.5
145,14,2012-01-08,51.0,42.0,47.0,26.0,38.0,18.0,0.0,740.0,1735.0,moderate,0.0,0.0,28.76,30.14,10.5,2.0,10.8
146,15,2012-01-08,41.0,21.0,31.0,20.0,27.0,34.0,0.0,717.0,1628.0,moderate,0.0,0.0,29.67,30.11,7.4,31.0,7.9
149,18,2012-01-08,58.0,40.0,49.0,45.0,48.0,16.0,0.0,731.0,1738.0,TSRA FG+ BR HZ,0.0,0.02,29.56,30.07,3.8,2.0,4.1
150,19,2012-01-08,41.0,19.0,30.0,21.0,28.0,35.0,0.0,722.0,1635.0,moderate,0.0,0.0,29.53,30.29,4.4,23.0,4.5
154,3,2012-01-09,54.0,26.0,40.0,27.0,35.0,25.0,0.0,735.0,1727.0,moderate,0.0,0.0,29.46,30.2,6.6,35.0,7.2
155,4,2012-01-09,57.0,42.0,50.0,47.0,48.0,15.0,0.0,729.0,1748.0,RA BR,0.0,0.87,29.33,30.02,6.6,34.0,8.2
