,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,codesum
0,1,2012-01-01,52.0,31.0,42.0,10.0,36.0,40.0,23.0,0.0,429.0,1041.0,0.0,0.05,29.78,29.92,3.6,20.0,4.6,2012,1,1,RA FZFG BR
1,1,2012-01-02,50.0,31.0,41.0,23.0,26.0,35.0,24.0,0.0,436.0,991.0,0.0,0.01,29.44,29.62,9.8,24.0,10.3,2012,1,2, 
2,1,2012-01-03,32.0,11.0,22.0,2.0,4.0,18.0,43.0,0.0,436.0,990.0,0.0,0.0,29.67,29.87,10.8,31.0,11.6,2012,1,3, 
3,1,2012-01-04,28.0,9.0,19.0,15.0,1.0,14.0,46.0,0.0,386.0,1052.0,0.2,0.0,29.86,30.03,6.3,27.0,8.3,2012,1,4, 
4,1,2012-01-05,38.0,25.0,32.0,7.0,13.0,25.0,33.0,0.0,383.0,1064.0,0.9,0.0,29.67,29.84,6.9,25.0,7.8,2012,1,5, 
5,1,2012-01-06,46.0,25.0,36.0,8.0,21.0,29.0,29.0,0.0,435.0,978.0,0.0,0.0,29.68,29.84,0.3,1.0,2.4,2012,1,6,SN
6,1,2012-01-07,57.0,28.0,43.0,10.0,28.0,36.0,22.0,0.0,373.0,1019.0,0.0,0.0,29.57,29.76,3.0,26.0,3.6,2012,1,7, 
7,1,2012-01-08,45.0,27.0,36.0,10.0,22.0,32.0,29.0,0.0,373.0,1019.0,0.0,0.0,29.9,30.11,5.1,30.0,6.6,2012,1,8, 
8,1,2012-01-09,39.0,23.0,31.0,8.0,12.0,25.0,34.0,0.0,435.0,978.0,0.0,0.0,30.06,30.2,2.3,23.0,4.0,2012,1,9, 
9,1,2012-01-10,47.0,29.0,38.0,10.0,24.0,32.0,27.0,0.0,373.0,1019.0,0.0,0.0,29.69,29.86,5.4,25.0,6.5,2012,1,10, 
10,1,2012-01-11,39.0,24.0,32.0,8.0,21.0,29.0,33.0,0.0,435.0,978.0,0.0,0.0,29.91,30.1,3.4,7.0,4.2,2012,1,11, 
11,1,2012-01-12,40.0,31.0,36.0,10.0,31.0,34.0,29.0,0.0,400.0,1043.0,0.0,0.69,29.62,29.74,10.7,5.0,12.3,2012,1,12,RA SN BR
12,1,2012-01-13,50.0,30.0,40.0,11.0,27.0,32.0,25.0,0.0,436.0,994.0,0.0,0.02,29.24,29.41,8.7,24.0,12.7,2012,1,13,RA FZRA FG+ FG BR UP
13,1,2012-01-14,35.0,14.0,25.0,2.0,12.0,23.0,40.0,0.0,436.0,990.0,0.0,0.0,29.58,29.81,11.1,28.0,12.5,2012,1,14, 
